PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO285435,DEPARTMENT OF TRANSPORTATION,"UNIFORMS, BLENDED FABRIC 85",$5233.00,01/02/2009,MORGANS INC,900 RHODE ISLAND AVENUE NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO289542,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"INFORMATION HIGHWAY ELECTRONIC SERVICES (INTERNET, WORLD WIDE WEB, ETC.) 51",$8000.00,02/20/2009,"LIVE ELEMENTS, INC.",71/2 N. LOUDOUN STREET  ; WINCHESTER  ; VA  ; 22601,WINCHESTER  ,VA
PO289503,EQUIPMENT LEASE - CAPITAL,"VANS, MODIFIED (CUSTOM) 94",$48262.08,02/20/2009,GENERAL SERVICE ADMINISTRATION,1500 EAST BANNISTER ROAD  ; KANSAS CITY  ; MD  ; 64131,KANSAS CITY  ,MD
PO275521-V2,DEPARTMENT OF PUBLIC WORKS,"AUTOMOBILE, TRUCK AND BUS PARTS AND EQUIPMENT 09",$8000.00,02/20/2009,"U.S. MUNICIPAL SUPPLY, INC.",10583 RAYSTOWN ROAD                                P.O. BOX 574  ; HUNTINGDON  ; PA  ; 16652,HUNTINGDON  ,PA
PO289505,DEPARTMENT OF MOTOR VEHICLES,"VEHICLE IDENTIFICATION SYSTEMS, AUTOMATED 92",$375000.00,02/20/2009,UNICORE FEDERAL PRISON INDUSTR,3301 LEESTOWN ROAD640  ; LEXINGTON  ; KY  ; 40511-8799,LEXINGTON  ,KY
PO289526,DEPARTMENT OF EMPLOYMENT SERVICES,"COMPUTERS, DATA PROCESSING EQUIPMENT AND ACCESSORIES (NOT WORD PROCESSING EQUIPMENT), MAINTENANCE AND REPAIR 21",$70642.53,02/20/2009,SYNTELLECT INC,16610 N BLACK CANYON HWY                           SUITE 100  ; PHOENIX  ; AZ  ; 85053,PHOENIX  ,AZ
PO289504,DEPT. OF HOUSING AND COMM. DEVELOPMENT,"POSTAGE RELATED PURCHASES (INCL. POSTAGE STAMPS, PRE-SORT 1ST CLASS INSCRIPTIONS, POSTAGE BY PHONE FOR METERS, ETC.) 57",$20000.00,02/20/2009,PITNEY BOWES,7630 LITTLE RIVER TURNPIKE                         SUITE 800M  ; ANNANDALE  ; VA  ; 22003,ANNANDALE  ,VA
PO289644,DEPARTMENT OF MOTOR VEHICLES,"OFFICE SUPPLIES, GENERAL 00",$36724.54,02/23/2009,MVS INC,1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO289626,DEPARTMENT OF HUMAN SERVICES,"DUPLICATING MACHINES (ALL TYPES), RENTAL OR LEASE 35",$31269.28,02/23/2009,XEROX CORPORATION,26600 SW PARKWAY AVENUE                            M/S 60-372  ; WILSONVILLE  ; OR  ; 97070,WILSONVILLE  ,OR
PO289678,UNIVERSITY OF DISTRICT OF COLUMBIA,"LOCKS, KEY BLANKS, AND LOCKSMITH TOOLS  (INCLUDING TIME LOCKS) 55",$3383.84,02/23/2009,CONDORTECH SERVICES INC.,7018 EVERGREEN COURT  ; ANNADALE  ; VA  ; 22003,ANNADALE  ,VA
PO289643,DEPARTMENT OF CORRECTIONS,POSTAL EQUIPMENT RENTAL OR LEASE (INCLUDING POST OFFICE BOX RENTALS) 60,$5406.00,02/23/2009,PITNEY BOWES,7630 LITTLE RIVER TURNPIKE                         SUITE 800M  ; ANNANDALE  ; VA  ; 22003,ANNANDALE  ,VA
PO289638,OFFICE OF THE CHIEF MEDICAL EXAMINER,"AIR COMPRESSORS AND ACCESSORIES, MAINTENANCE AND REPAIR 08",$8225.00,02/23/2009,ALLIED AIR COMPRESSOR,9215 51ST AVE                                      UNIT 9  ; COLLEGE PARK  ; MD  ; 20740,COLLEGE PARK  ,MD
PO289637,DEPARTMENT OF MENTAL HEALTH,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$9300.00,02/23/2009,GWENDOLYN WILLIAMS,4228 BENNING RD NE #107  ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO289629,OFFICE OF JUSTICE GRANTS ADMINISTRATION,NON-BIDDABLE MISCELLANEOUS ITEMS 00,$145500.00,02/23/2009,NATIONAL CAPITAL COALITION,TO PREVENT UNDERAGE DRINKING 1875 CONN. AVE NW #500  ; WASHINGTON  ; DC  ; 20009-,WASHINGTON  ,DC
PO289710,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RECYCLED COMPUTER ACCESSORIES AND SUPPLIES 79,$8223.68,02/23/2009,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO289736,DEPARTMENT OF HEALTH,"EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - HOSPITAL, LABORATORY, AND TESTING EQUIPMENT 00",$4900.00,02/23/2009,MIDATLANTIC TECHNOLOGIES GROUP,3191 TREWINGTON ROAD                               SUITE 100  ; COLMAR  ; PA  ; 18915,COLMAR  ,PA
PO289651,DEPARTMENT OF HEALTH,SOFTWARE MAINTENANCE/SUPPORT 45,$11800.00,02/23/2009,INPUT TECHNOLOGIES,12705 CENTURY DRIVE  ; ALPHARETTA  ; GA  ; 30004,ALPHARETTA  ,GA
PO281717-V2,SPECIAL EDUCATION TRANSPORTATION,"PROFESSIONAL: HOSPITAL/PHARMACY, LEGAL, COMPUTER TRAINING, ETC. 67",$2600.00,02/23/2009,"WEBB MD, LLC",8344 TRAFORD LANE #A  ; SPRINGFIELD  ; VA  ; 22152,SPRINGFIELD  ,VA
PO289655,OFF OF PARTNERSHIP AND GRANT SERVICES,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$70000.00,02/23/2009,CONNECTING THE DOTS CONSULTING,"1501 27TH STREET, SE                               SUITE 308  ; WASHINGTON  ; DC  ; 20020",WASHINGTON  ,DC
PO289714,DEPART OF INSURANCE,"NETWORKING SERVICES (INCLUDING INSTALLATION, SECURITY, AND MAINTENANCE ) 37",$9712.00,02/23/2009,REED ELSEVIER INCORPORATED,225 WYMAN STREET  ; WYMAN  ; MA  ; 02451,WYMAN  ,MA
PO289690,OFFICE OF THE CHIEF TECHNOLOGY OFFICER,TELECOMMUNICATIONS CONSULTING 95,$5950.00,02/23/2009,"AVAYA, INC.",4250 NORTH FAIRFAX DRIVE                           10TH FLOOR  ; ARLINGTON  ; VA  ; 22203,ARLINGTON  ,VA
PO289631,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,"PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC. 72",$3516.08,02/23/2009,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO289709,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC. 72",$7345.60,02/23/2009,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO289624,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"OFFICE SUPPLIES, GENERAL 00",$25000.00,02/23/2009,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO289734,OFFICE OF CITIZEN COMPLAINT REVIEW,PRINT-ON-DEMAND PRINTING SERVICES (INCLUDING PRINT AND DISTRIBUTE SERVICES) 76,$4300.00,02/23/2009,ABS COMPLETE PRINTING SERVICE,523 COMMERCE DRIVE  ; UPPER MARLBORO  ; MD  ; 20774,UPPER MARLBORO  ,MD
PO288777,FIRE AND EMERGENCY MEDICAL SERVICES,PHYSICAL FITNESS PROGRAMS 73,$12809.00,02/23/2009,SAMPSON PARTNERS LLC,NAUTILUS GSA 6465 DUNBARTON DRIVE  ; HUDSON   ; OH  ; 44236-4423,HUDSON   ,OH
PO289639,COMMISSION ON THE ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$15000.00,02/23/2009,CATALYST THEATRE COMPANY,"1333 H STREET, NE   ; WASHINGTON  ; DC  ; 20002-",WASHINGTON  ,DC
PO284504,DEPARTMENT OF TRANSPORTATION,"SIGNS, SIGN MATERIALS, SIGN MAKING EQUIPMENT, AND RELATED SUPPLIES 00",$10000.00,02/23/2009,GELBERG SIGNS,"6511 CHILLUM PLACE, N.W.  ; WASHINGTON  ; DC  ; 20012",WASHINGTON  ,DC
PO281674,DEPARTMENT OF TRANSPORTATION,"SIGNS, SIGN MATERIALS, SIGN MAKING EQUIPMENT, AND RELATED SUPPLIES 00",$5500.00,02/23/2009,GELBERG SIGNS,"6511 CHILLUM PLACE, N.W.  ; WASHINGTON  ; DC  ; 20012",WASHINGTON  ,DC
PO289721,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"EDUCATIONAL: FOREIGN LANGUAGES, MATH, SCIENCE, SOCIAL STUDIES, ETC. 43",$5568.00,02/23/2009,SCHOOL SPECIALTY,W 6316 DESIGN DRIVE   ; GREENVILLE  ; WI  ; 54942-,GREENVILLE  ,WI
PO289625,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC. 72",$2535.00,02/23/2009,LASER ART INC,2209 CHANNING STREET NE PO BOX 41083  ; WASHINGTON  ; DC  ; 20018-0483,WASHINGTON  ,DC
PO289673,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,"LEGAL SERVICES, ATTORNEYS 49",$158000.00,02/23/2009,KUTAK ROCK LLP,1101 CONNECTICUT AVE NW                            SUITE 1000  ; WASHINGTON  ; DC  ; 20036-4374,WASHINGTON  ,DC
PO289711,OFFICE OF THE CHIEF FINANCIAL OFFICER,NEWSPAPER AND PUBLICATION ADVERTISING 71,$8250.00,02/23/2009,THOMPSON MEDIA,PO BOX 4634  ; CHICAGO  ; IL  ; 60680,CHICAGO  ,IL
PO289703,COMMISSION ON THE ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$3250.00,02/23/2009,DISTRICT OF COLUMBIA AGENCIES,2200 MINNESOTA AVE SUITE 550N   ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO289632,DEPARTMENT OF TRANSPORTATION,RECYCLED COMPUTER ACCESSORIES AND SUPPLIES 79,$4550.00,02/23/2009,DUPONT COMPUTERS,"1761 S STREET, N.W.  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO289597,CHILD AND FAMILY SERVICES AGENCY,RECYCLED COMPUTER ACCESSORIES AND SUPPLIES 79,$26911.25,02/23/2009,LASER ART INC,2209 CHANNING STREET NE PO BOX 41083  ; WASHINGTON  ; DC  ; 20018-0483,WASHINGTON  ,DC
PO289633,DEPARTMENT OF PUBLIC WORKS,RECYCLED COMPUTER ACCESSORIES AND SUPPLIES 79,$10000.00,02/23/2009,LASER ART INC,2209 CHANNING STREET NE PO BOX 41083  ; WASHINGTON  ; DC  ; 20018-0483,WASHINGTON  ,DC
PO289630,OFFICE OF LATINO AFFAIRS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$25000.00,02/23/2009,EDUCATION ORGANIZATION FOR,UNITED LATIN AMERICANS                             1842 CALVERT STREET NW  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO289599,OFFICE OF THE CHIEF FINANCIAL OFFICER,"CONSTRUCTION SERVICES, GENERAL 00",$4663.60,02/23/2009,CONSYS INC,732 KENNEDY ST NW  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO269795,OFFICE OF THE CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$22453.01,02/23/2009,ORACLE CORPORATION,500 ORACLE PARKWAY   ; REDWOOD SHORES  ; CA  ; 94065-,REDWOOD SHORES  ,CA
PO289613,DEPARTMENT OF REAL ESTATE SERVICES,"ARCHITECTURAL SERVICES, PROFESSIONAL 00",$5774.46,02/23/2009,GROTHEER PC ENGINEERING,1612 K STREET                                      SUITE LL3  ; WASHINGTON  ; DC  ; 20006,WASHINGTON  ,DC
PO289649,UNIVERSITY OF DISTRICT OF COLUMBIA,"BOOKS, DIRECTORIES, MAGAZINES, PAMPHLETS, PUBLICATIONS, REPRINTS, ETC. 10",$30000.00,02/23/2009,MIDWEST LIBRARY SERVICE,11443 ST.CHARLES ROCK ROAD  ; BRIDGETON  ; MO  ; 63044-2789,BRIDGETON  ,MO
PO287820-V2,DEPARTMENT OF PUBLIC WORKS,COPY MACHINES 32,$6810.64,02/23/2009,RICOH CORP/RICOH BUS.SYSTEM,5 DEDRICK PLACE   ; WEST CALDWELL  ; NJ  ; 07006-,WEST CALDWELL  ,NJ
PO288511,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CONSTRUCTION MANAGEMENT SERVICES 26,$32119.00,02/23/2009,LANCE BAILEY & ASSOCIATES INC,7961 EASTERN AVE                                   SUITE 200  ; SILVER SPRING  ; MD  ; 20910,SILVER SPRING  ,MD
PO288416,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CONSTRUCTION MANAGEMENT SERVICES 26,$12500.00,02/23/2009,LANCE BAILEY & ASSOCIATES INC,7961 EASTERN AVE                                   SUITE 200  ; SILVER SPRING  ; MD  ; 20910,SILVER SPRING  ,MD
PO288417,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CONSTRUCTION MANAGEMENT SERVICES 26,$71173.00,02/23/2009,LANCE BAILEY & ASSOCIATES INC,7961 EASTERN AVE                                   SUITE 200  ; SILVER SPRING  ; MD  ; 20910,SILVER SPRING  ,MD
PO287427-V2,FIRE AND EMERGENCY MEDICAL SERVICES,ELECTRICAL 38,$13630.80,02/23/2009,W S JENKS & SON,953 V STREET NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO289732,DEPARTMENT OF EMPLOYMENT SERVICES,"TRAINING AND INSTRUCTION (FOR CLIENTS, NOT STAFF) 90",$4372.50,02/23/2009,"SHD HOLDINGS INC, DBA  ACE",7833 WALKER DRIVE SUITE 520C  ; GREENBELT  ; MD  ; 20770-3211,GREENBELT  ,MD
PO289706,COMMISSION ON THE ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$13500.00,02/23/2009,CULTURAL ALLIANCE OF GREATER,WASHINGTON                                         1436 U STREET NW SUITE 103  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO289707,COMMISSION ON THE ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$20000.00,02/23/2009,CULTURAL ALLIANCE OF GREATER,WASHINGTON                                         1436 U STREET NW SUITE 103  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO289617,STATE SUPERINTENDENT OF EDUCATION (OSSE),RESOURCE BOOKS AND MATERIALS (NOT OTHERWISE CLASSIFIED) 87,$3180.00,02/23/2009,CENTER FOR STUDENT OPPORTUNITY,4903 AUBURN AVENUE  ; BETHESDA  ; MD  ; 20814,BETHESDA  ,MD
PO278775-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TUTORING 80,$988240.00,02/23/2009,CAPITOL EDUCATION SUPPORT,"820 H. STREET, NE. SUITE 100  ; WASHINGTON  ; DC  ; 20002-",WASHINGTON  ,DC
PO289650,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"RENTAL OR LEASE SERVICES OF EQUIPMENT - AGRICULTURAL, AIRCRAFT, AUTOMOTIVE, HEAVY EQUIPMENT, AND MARINE EQUIPMENT 00",$6799.98,02/23/2009,ACME AUTO LEASING LLC,440 WASHINGTON AVENUE  ; NORTH HAVEN  ; CT  ; 06473,NORTH HAVEN  ,CT
PO289713,METROPOLITAN POLICE DEPARTMENT,CONSULTING SERVICES 00,$94200.00,02/23/2009,NETWORKING FOR FUTURE INC,"1023 15TH STREET, NW SUITE 500  ; WASHINGTON  ; DC  ; 20005-",WASHINGTON  ,DC
PO289614,UNIVERSITY OF DISTRICT OF COLUMBIA,"COPY MACHINE, PLAIN PAPER TYPE (INCLUDING COST-PER-COPY TYPE LEASES) RENTAL OR LEASE 26",$10798.08,02/23/2009,XEROX CORPORATION,PO BOX 827598  ; PHILADELPHIA  ; PA  ; 19181-7598,PHILADELPHIA  ,PA
PO289433,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MULTI-FUNCTION OFFICE MACHINES (COMBINATION OF FAX-COPIER-SCANNER-PRINTER, ETC.) 72",$2514.45,02/23/2009,PREMIER OFFICE & MEDICAL SUPPL,1020 49TH STREET NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO289653,OFFICE OF THE INSPECTOR GENERAL,"PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC. 72",$3565.00,02/23/2009,"HI-TECH SOLUTION, INC.","1300 PENNSYLANIA AVE, NW                           SUITE 700  ; WASHINGTON  ; DC  ; 20004",WASHINGTON  ,DC
PO289735,DEPARTMENT OF PUBLIC WORKS,IN-SERVICE TRAINING (FOR EMPLOYEES) 35,$9715.00,02/23/2009,LEAH M JOPPY & ASSOCIATES,5809 WINEGROVE COURT  ; DERWOOD  ; MD  ; 20855,DERWOOD  ,MD
PO289672,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,"PLANNING AND ADVISORY SERVICES, ENVIRONMENTAL 72",$57000.00,02/23/2009,EDAW,601 PRINCE STREET  ; ALEXANDRIA  ; VA  ; 22314,ALEXANDRIA  ,VA
PO289628,OFFICE OF JUSTICE GRANTS ADMINISTRATION,NON-BIDDABLE MISCELLANEOUS ITEMS 00,$15000.00,02/23/2009,VERA INST. OF JUSTICE INC.,233 BROADWAY 12TH FLOOR  ; NEW YORK  ; NY  ; 10279-,NEW YORK  ,NY
PO289704,COMMISSION ON THE ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$4000.00,02/23/2009,DELTA HOUSING CORPORATION OF D,"1400 FLORIDA AVENUE, NE  ; WASHINGTON   ; DC  ; 20002",WASHINGTON   ,DC
PO289393,OFFICE OF THE CHIEF FINANCIAL OFFICER,BANKING SERVICES 25,$995000.00,02/23/2009,WACHOVIA BANK NATIONAL ASSOCIA,1753 PINNACLE DRIVE                                3RD FLOOR SOUTH TOWER  ; MCLEAN  ; VA  ; 22102-4099,MCLEAN  ,VA
PO266080-V3,OFFICE OF THE CHIEF FINANCIAL OFFICER,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$166239.90,02/23/2009,OBVERSE CORPORATION INC,6925 WILLOW STREET NW                              SUITE 230  ; WASHINGTON  ; DC  ; 20012,WASHINGTON  ,DC
PO253318-V3,OFFICE OF THE CHIEF FINANCIAL OFFICER,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$540558.00,02/23/2009,OBVERSE CORPORATION INC,6925 WILLOW STREET NW                              SUITE 230  ; WASHINGTON  ; DC  ; 20012,WASHINGTON  ,DC
PO283361,METROPOLITAN POLICE DEPARTMENT,AMMUNITION 04,$230795.40,02/23/2009,LAWMEN SUPPLY COMPANY,5521 WHITE HORSE PIKE  ; EGG HARBOR CITY  ; NJ  ; 08215-9510,EGG HARBOR CITY  ,NJ
PO289698,DEPARTMENT ON DISABILITY SERVICES,ORGANIZATIONAL DEVELOPMENT CONSULTING 83,$75724.20,02/23/2009,MVS INC,1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO289806,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$25000.00,02/24/2009,NATIONAL CAPITAL POISON CENTER,3201 NEW MEXICO AVE                                SUITE 310  ; WASHINGTON  ; DC  ; 20016,WASHINGTON  ,DC
PO289826,DEPARTMENT OF HEALTH,,$24967.87,02/24/2009,SYNTELLECT INC,16610 N BLACK CANYON HWY                           SUITE 100  ; PHOENIX  ; AZ  ; 85053,PHOENIX  ,AZ
PO289797,DEPARTMENT OF TRANSPORTATION,FURNITURE: OFFICE 00,$9489.20,02/24/2009,S&H TRUCKING COMPANY,"1013 ROHDE ISLAND AVE, NE  ; WASHINGTON  ; DC  ; 20018",WASHINGTON  ,DC
PO289767,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$191336.00,02/24/2009,THURGOOD MARSHALL ACADEMY,"2427 MLK, JR AVENUE, SE   ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO289822,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$19143.71,02/24/2009,NIA COMMUNITY PCS,100 41 ST. NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO289813,COUNCIL OF THE DISTRICT OF COLUMBIA,CONSULTING SERVICES 00,$10000.00,02/24/2009,"PROIMAGE COMMUNICATIONS, LLC","910 17TH STREET, NW                                SUITE 800  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO276472-V2,DEPARTMENT OF HEALTH,"MISCELLANEOUS SERVICES, NO. 1 00",$416149.00,02/24/2009,DC CARE CONSORTIUM,1156-15TH STREET NW                                STE 500  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO289769,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$112500.00,02/24/2009,MERIDIAN PUBLIC CHARTER SCHOOL,"1328 FLORIDA AVENUE, NW  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO289762,DEPARTMENT OF CORRECTIONS,PRISONER CLOTHING 49,$3750.00,02/24/2009,AMERICAN SUPPLY COMPANY,316 F. ST. NE. 103  ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO289789,OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"COMMUNICATIONS: NETWORKING, LINKING, ETC. (INCLUDES CLUSTERING SOFTWARE) 27",$22848.80,02/24/2009,"SUPRETECH, INC.","7600 GEORGIA AVENUE, NW #LL  ; WASHINGTON  ; DC  ; 20012-",WASHINGTON  ,DC
PO275924-V2,COUNCIL OF THE DISTRICT OF COLUMBIA,RECORDS MANAGEMENT SERVICES 82,$124769.14,02/24/2009,"OPTIMUS TECHNOLOGIES, LLC","700 12TH STREET, N.W.                              SUITE 700  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO289838,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,HEALTH RELATED SERVICES (FOR HUMAN SERVICES SEE CLASS 952) 00,$215625.00,02/24/2009,A & M REHAB MEDICAL SERVICES,1050 CONNECTICUT AVE. N.W.                         10TH FL.  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO289827,DEPARTMENT OF TRANSPORTATION,"CONSTRUCTION, STREET (MAJOR AND RESIDENTIAL)(INCLUDES RECONSTRUCTION) 50",$18550.00,02/24/2009,"LINK COMMUNICATIONS, LTD",8955 HENKELS LANE                                  SUITE 511  ; ANNAPOLIS JUNCTION  ; MD  ; 20701,ANNAPOLIS JUNCTION  ,MD
PO289792,DEPARTMENT OF TRANSPORTATION,POSTAGE METERS 77,$20000.00,02/24/2009,US POSTAL SERVICE,STAMP STORE POSTAL SQUARE STA                      #2 MASS AVENUE NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO289810,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS 00,$2729.00,02/24/2009,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE, NE                              SUITE 200  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO289790,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$6000.00,02/24/2009,CATHERINE D. DIXON-KHEIR,D/B/A DIXON LEARNING DESIGNS 8239 VOSGES ROAD  ; BALTIMORE  ; MD  ; 21244,BALTIMORE  ,MD
PO287897,METROPOLITAN POLICE DEPARTMENT,LABORATORY EQUIPMENT 57,$3223.00,02/24/2009,"SENTRY AIR SYSTEMS, INC.",6999 W. LITTLE YORK RD STE P1  ; HOUSTON  ; TX  ; 77040,HOUSTON  ,TX
PO289761,HOMELAND SECURITY GRANTS,"VIDEO CAMERA RECORDERS, DIGITAL TYPE 67",$18275.00,02/24/2009,REMINGTON-ELSAG LLC,205-H CREEK RIDGE ROAD   ; GREENSBORO  ; NC  ; 27406-,GREENSBORO  ,NC
PO289802,FORENSIC LABORATORY TECHNICIAN TRAIN PRG,CLINICAL FORENSIC AND POSTMORTEM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 16,$5000.00,02/24/2009,VWR INTERNATIONAL LLC,1310 GOSHEN PARKWAY  ; WEST CHESTER  ; PA  ; 19380,WEST CHESTER  ,PA
PO289832,DEPARTMENT OF PUBLIC WORKS,"TOOLS, ALL TYPES 90",$3637.00,02/24/2009,IDSC HOLDINGS LLC,3011 EAST ROUTE 176  ; CRYSTAL LAKE  ; IL  ; 60014,CRYSTAL LAKE  ,IL
PO289823,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$16625.62,02/24/2009,CITY COLLEGIATE PCS,"2001 S STREET, N.W. 2ND FLOOR  ; WASHINGTON  ; DC  ; 20009-",WASHINGTON  ,DC
PO286386-V2,DEPARTMENT OF HEALTH,"PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC. 72",$3000.00,02/24/2009,LASER ART INC,2209 CHANNING STREET NE PO BOX 41083  ; WASHINGTON  ; DC  ; 20018-0483,WASHINGTON  ,DC
PO289788,DEPARTMENT OF HUMAN SERVICES,"COURSE DEVELOPMENT SERVICES, INSTRUCTIONAL/TRAINING 16",$36500.00,02/24/2009,ANACOSTIA COMM. OUTREACH CTR,2443 AINGER PLACE SE   ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO289836,EQUIPMENT LEASE - CAPITAL,"VEHICLES, INCLUDING AUTOMOBILES, TRUCKS, TRAILERS, VANS, MOTOR HOMES, MOTORCYCLES AND SCOOTERS, ETC. (SEE 998-20 FOR BUSES) 94",$108843.30,02/24/2009,"GRANTURK EQUIPMENT COMPANY, IN",1415 BUSH STREET  ; BALTIMORE  ; MD  ; 21230,BALTIMORE  ,MD
