PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO352134,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$11280.00,01/03/2011,ROBERT MORRIS,413 5TH STREET NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO345538-V3,OFF PUBLIC ED FACILITIES MODERNIZATION,WIRING AND OTHER ELECTRICAL MAINTENANCE AND REPAIR SERVICES 82,$50000.00,03/22/2011,"TRULITE ELECTRICAL SVC, LLC",3422 HIGHWOOD DR. S.E.   ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO358420,DEPARTMENT OF TRANSPORTATION,"PAVING/RESURFACING, HIGHWAY AND ROAD 95",$100000.00,03/22/2011,FORT MYER CONSTRUCTION CORPORA,"2237 - 33RD STREET, N.E.  ; WASHINGTON  ; DC  ; 20018",WASHINGTON  ,DC
PO358471,OFFICE ON AGING,ELDERLY ASSISTANCE SERVICES 40,$103374.00,03/22/2011,GEORGE WASHINGTON UNIVERSITY -,801 22ND STREET NW ROSS HALL #100  ; WASHINGTON  ; DC  ; 20052-,WASHINGTON  ,DC
PO354308-V3,STATE SUPERINTENDENT OF EDUCATION (OSSE),COMPUTER SOFTWARE CONSULTING 29,$122500.00,03/22/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO321923-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$66811.89,03/22/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO358406,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,$18254.00,03/22/2011,INTEGRATION TECHNOLOGIES GROUP,2745 HARTLAND ROAD   ; FALLS CHURCH  ; VA  ; 22043-,FALLS CHURCH  ,VA
PO358391,FIRE AND EMERGENCY MEDICAL SERVICES,INSTALLATION OF SECURITY EQUIPMENT 50,$4942.88,03/22/2011,"PRO TECH SYSTEMS OF MD, INC",12704 SILVERBIRCH LANE                             SUITE 200  ; LAUREL  ; MD  ; 20708-0708,LAUREL  ,MD
PO358456,FIRE AND EMERGENCY MEDICAL SERVICES,MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67,$10375.20,03/22/2011,"DHHS, PSC, DPM","PSC, FMS RM 16A-12 5600 FISHERS LANE   ; ROCKVILLE  ; MD  ; 20857-",ROCKVILLE  ,MD
PO358454,FIRE AND EMERGENCY MEDICAL SERVICES,WATERPROOFING SYSTEMS AND REPAIR 94,$2950.00,03/22/2011,I S ENTERPRISES INC,1324 H STREET NE   ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO358390,FIRE AND EMERGENCY MEDICAL SERVICES,ROOFING AND SIDING 73,$2950.00,03/22/2011,I S ENTERPRISES INC,1324 H STREET NE   ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO358459,OFFICE OF THE INSPECTOR GENERAL,"EXPLOSIVES STORAGE BOXES, BUNKERS, ETC. 45",$4640.00,03/22/2011,DJ NIEMAN INC,MID-ATLANTIC AMMO 3298 HEAVENLY CAUSE CT  ; MOUNT AIRY  ; MD  ; 21771-,MOUNT AIRY  ,MD
PO358479,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TEXTBOOKS: KINDERGARTEN THRU 5TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 85,$3634.77,03/22/2011,TEMPO BOOKSTORE,4905 WISCONSIN AVENUE NW  ; WASHINGTON  ; DC  ; 20016,WASHINGTON  ,DC
PO357112-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATIONAL RESEARCH SERVICES 19,$25012.00,03/22/2011,JBL ASSOCIATES INC,6900 WISCONSIN AVENUE SUITE 606  ; BETHESDA  ; MD  ; 20815,BETHESDA  ,MD
PO358413,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BATTERIES, ALL TYPES 15",$4508.70,03/22/2011,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO358470,DEPART OF YOUTH REHABILITATION SERVICES,PLEXIGLASS GLASS 58,$4550.00,03/22/2011,UNITED GENERAL CONTRACTOR,"606 B RHODE ISLAND AVENUE, NE   ; WASHINGTON  ; DC  ; 20002-",WASHINGTON  ,DC
PO358480,OFF PUBLIC ED FACILITIES MODERNIZATION,"RECYCLED PLUMBING EQUIPMENT, ACCESSORIES AND SUPPLIES 95",$25000.00,03/22/2011,"EASTERN PLUMBING SUPPLY, INC.",1121 FLORIDA AVE. NE.   ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO358392,FIRE AND EMERGENCY MEDICAL SERVICES,"OVERHEAD DOOR INSTALLATION, MAINTENANCE, AND REPAIR 55",$9605.00,03/22/2011,METROPOLITAN ROLLING DOORS INC,9620 GERWIG LANE  ; COLUMBIA  ; MD  ; 21046,COLUMBIA  ,MD
PO344999-V2,CHILD AND FAMILY SERVICES,TELECOMMUNICATION SERVICES (NOT OTHERWISE CLASSIFIED) 79,$450183.30,03/22/2011,SPRINT,4TH FLOOR                                          1200 MAIN STREET  ; KANSAS CITY  ; MO  ; 69105,KANSAS CITY  ,MO
PO358394,DEPARTMENT OF MOTOR VEHICLES,"PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC. 72",$16000.00,03/22/2011,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO344419-V3,OFF PUBLIC ED FACILITIES MODERNIZATION,FIRE EXTINGUISHER MAINTENANCE (INCLUDING RECHARGING) AND REPAIR 34,$75000.00,03/22/2011,"SILVER SPRING FIRE PROTECTION,",7389 WASHINGTON BLVD.                              SUITE 105  ; ELKRIDGE  ; MD  ; 21075,ELKRIDGE  ,MD
PO358449,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",$11088.72,03/22/2011,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO346901-V3,DEPARTMENT ON DISABILITY SERVICES,TRANSITIONAL LIVING 92,$4114.80,03/22/2011,ROBERTA'S DEVELOPMENTAL DISABI,2012 HIGH TEMBER ROAD  ; FORT WASHINGTON  ; MD  ; 20744,FORT WASHINGTON  ,MD
PO277186-V2,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,"LEGAL SERVICES, ATTORNEYS 49",$133239.15,03/22/2011,SEYFARTH SHAW LLP,131 SOUTH DEARBORN STREET SUITE 2400  ; CHICAGO  ; IL  ; 60603-5803,CHICAGO  ,IL
PO358414,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$84000.00,03/22/2011,ALLARD AND ASSOCIATES,8905 WALDEN RD  ; SILVER SPRING  ; MD  ; 20901,SILVER SPRING  ,MD
PO335388-V2,DC PUBLIC LIBRARY,"FURNISHINGS: ARTWORK, CABINETS, FURNITURE, WINDOW TREATMENTS, ETC. 48",$481706.33,03/22/2011,"THE GEORGETOWN DESIGN GROUP,IN","1920 N STREET, NW  ; WASHINGTON  ; DC  ; 20036",WASHINGTON  ,DC
PO358467,CHILD AND FAMILY SERVICES,INTELLIGENT TRANSPORTATION SYSTEMS EQUIPMENT MAINTENANCE AND REPAIR 49,$11025.00,03/22/2011,"HI-TECH SOLUTION, INC.","1300 PENNSYLANIA AVE, NW                           SUITE 700  ; WASHINGTON  ; DC  ; 20004",WASHINGTON  ,DC
PO358450,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$4647.00,03/22/2011,DC RAPE CRISIS CENTER,"1625 K STREET, NW                                  SUITE 700  ; WASHINGTON  ; DC  ; 20006",WASHINGTON  ,DC
PO358423,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,$3884.00,03/22/2011,CIM AUDIO VISUAL INC. DBA CIM,1256 WASHINGTON STREET   ; COLUMBUS  ; IN  ; 47201-,COLUMBUS  ,IN
PO344600-V3,OFF PUBLIC ED FACILITIES MODERNIZATION,SECURITY AND ACCESS SYSTEMS MAINTENANCE AND REPAIR 73,$75000.00,03/22/2011,"NEW TECHNOLOGY SYSTEMS, LLC",2721 HAMLIN STREET NE   ; WASHINGTON   ; DC  ; 20018-,WASHINGTON   ,DC
PO358452,DEPARTMENT OF HEALTH,"TEST KITS AND SUPPLIES, CHEMISTRY (NOT OTHERWISE CLASSIFIED) 89",$3253.80,03/22/2011,PE BIOSYSTEMS/APPLIED BIOSYSTE,850 LINCOLN CENTRE DRIVE   ; FOSTER CITY  ; CA  ; 94404-,FOSTER CITY  ,CA
PO358468,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$16000.00,03/22/2011,VMT EDUCATION CENTER,4201 CONNECTICUT AVE NW SUITE 208  ; WASHINGTON  ; DC  ; 20008-,WASHINGTON  ,DC
PO358466,CHILD AND FAMILY SERVICES,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENCY TYPE) RENTAL OR LEASE 14,$4950.00,03/22/2011,ACME AUTO LEASING LLC,440 WASHINGTON AVENUE  ; NORTH HAVEN  ; CT  ; 06473,NORTH HAVEN  ,CT
PO358509,DEPT. OF HOUSING AND COMM. DEVELOPMENT,NEWSPAPER AND PUBLICATION ADVERTISING 71,$3000.00,03/23/2011,KAGGWA COMMUNICATIONS,TA/ DISTRICT CHRONICLES                            525 BRYANT STREET NW  ; WASHINGTON  ; DC  ; 20059,WASHINGTON  ,DC
PO358505,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"INSTRUCTIONAL AIDS: COURSES, LESSON PLANS (PREPARED), PROGRAMS, ANCILLARY MATERIALS, VIDEOS, ETC. (SEE CLASS 715 FOR TEXTBOOKS) 70",$7906.00,03/23/2011,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO358507,DEPARTMENT ON DISABILITY SERVICES,MEDICAL CONSULTING 78,$31200.00,03/23/2011,JANET S. BRANDON,522 HIGHT STREET  ; CHESTERTOWN  ; MD  ; 21620,CHESTERTOWN  ,MD
PO358578,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$3237.00,03/23/2011,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO358513,DEPARTMENT OF TRANSPORTATION,,$3450.51,03/23/2011,ITEM INC,5509 VINE STREET  ; ALEXANDRIA  ; VA  ; 22310,ALEXANDRIA  ,VA
PO358560,DEPARTMENT OF PARKS AND RECREATION,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$40000.00,03/23/2011,"MILLENNIUM POOL AND SPA, LLC",8927 LAKE BRADDOCK DR  ; BURKE  ; VA  ; 22015,BURKE  ,VA
PO358561,DEPT. OF HOUSING AND COMM. DEVELOPMENT,NEWSPAPER AND PUBLICATION ADVERTISING 71,$4000.00,03/23/2011,CAPITAL COMMUNITY NEWS INC,224 7TH STREET SE SUITE 300  ; WASHINGTON  ; DC  ; 20003-,WASHINGTON  ,DC
PO358530,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$40000.00,03/23/2011,D.C WATER AND SEWER AUTHORITY,"5000 OVERLOOK AVE, SW                              4TH FL-CHIEF FINANCIAL OFFICE  ; WASHINGTON  ; DC  ; 20032",WASHINGTON  ,DC
PO358528,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$187537.10,03/23/2011,GEORGE WASHINGTON UNIVERSITY -,801 22ND STREET NW ROSS HALL #100  ; WASHINGTON  ; DC  ; 20052-,WASHINGTON  ,DC
PO358529,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$665446.00,03/23/2011,GEORGE WASHINGTON UNIVERSITY -,801 22ND STREET NW ROSS HALL #100  ; WASHINGTON  ; DC  ; 20052-,WASHINGTON  ,DC
PO358568,DEPARTMENT OF HEALTH,COMPUTER NETWORK CONSULTING 30,$98400.00,03/23/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO358506,DEPT. OF HOUSING AND COMM. DEVELOPMENT,"ROOM RENTAL FOR CONFERENCES, SEMINARS, ETC. 65",$4150.00,03/23/2011,WASH CONVENT CENTER AUTHORITY,"801 MOUNT VERNON PLACE, NW  ; WASHINGTON  ; DC  ; 20001",WASHINGTON  ,DC
PO343527-V3,OFF PUBLIC ED FACILITIES MODERNIZATION,"ELEVATOR INSTALLATION, MAINTENANCE AND REPAIR 13",$251406.00,03/23/2011,"MARYLAND ELEVATOR SERVICES, IN",2147 PRIEST BRIDGE DRIVE                           SUITE 18  ; CROFTON  ; MD  ; 21114,CROFTON  ,MD
PO355559-V2,DEPARTMENT OF MOTOR VEHICLES,TRANSCRIPTION SERVICES: LEGAL AND MEDICAL 72,$4500.00,03/23/2011,NEAL R GROSS & CO INC,1323 RHODE ISLAND AVE NW   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO345900-V3,OFF PUBLIC ED FACILITIES MODERNIZATION,CHEMICAL TREATMENT OF BOILER AND TOWER WATER 23,$355000.00,03/23/2011,"TASCO WATER WORKS, INC",9209 HAMPTON OVERLOOK  ; CAPITAL HEIGHTS  ; MD  ; 20743,CAPITAL HEIGHTS  ,MD
PO358574,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BUS TRANSPORTATION SERVICES, SCHOOL 16",$27175.00,03/23/2011,WASH METRO AREA TRANSIT AUTH,600 5TH STREET NW  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO358508,OFFICE OF PEOPLE'S COUNSEL,WEB PAGE DESIGN AND/OR MANAGEMENT SERVICES 96,$6080.00,03/23/2011,DATA NET SYSTEMS CORP,1201 - 15TH STREET NW SUITE 210  ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO358559,DEPARTMENT OF MOTOR VEHICLES,SOFTWARE MAINTENANCE/SUPPORT 45,$16850.00,03/23/2011,R. L.  POLK AND COMPANY,26955 NORTHWESTERN HIGHWAY  ; SOUTHFIELD  ; MI  ; 48034,SOUTHFIELD  ,MI
PO358562,METROPOLITAN POLICE DEPARTMENT,"AIRPLANES, HELICOPTERS AND ACCESSORIES MAINTENANCE AND REPAIR 16",$220579.00,03/23/2011,STERLING CORPORATION,801 SOUTH COLUMBUS BLVD  ; PHILADELPHIA  ; PA  ; 19147,PHILADELPHIA  ,PA
PO351349-V2,LOTTERY & CHARITABLE GAMES CONTROL BOARD,INSTALLATION OF SECURITY EQUIPMENT 50,$3375.00,03/23/2011,"MORPHOTRAK, INC",1145 BROADWAY PLAZA SUITE 200  ; TACOMA  ; WA  ; 98402,TACOMA  ,WA
PO358512,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$124000.00,03/23/2011,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO356347-V2,DEPARTMENT OF MENTAL HEALTH,EDUCATION AND TRAINING CONSULTING 38,$35945.00,03/23/2011,"GEORGE S. EVERLY, JR.",702 SEVERNSIDE AVENUE  ; SEVERNA PARK  ; MD  ; 21146,SEVERNA PARK  ,MD
PO353910-V2,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"COPY MACHINES, BOND (PLAIN) PAPER TYPE INCLUDING PARTS AND ACCESSORIES 38",$133320.00,03/23/2011,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO346697-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENCY TYPE) RENTAL OR LEASE 14,$33035.00,03/23/2011,ACME AUTO LEASING LLC,440 WASHINGTON AVENUE  ; NORTH HAVEN  ; CT  ; 06473,NORTH HAVEN  ,CT
PO342808-V2,DEPARTMENT OF MENTAL HEALTH,TRANSITIONAL LIVING 92,$107727.89,03/23/2011,NEUROBEHAVIORAL RESOURCES,9297 WAHRENBERGER ROAD P.O. BOX 730325  ; CONCORE  ; TX  ; 75373-2441,CONCORE  ,TX
PO358606,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,$2632.00,03/24/2011,MAYER-JOHNSON LLC,2100 WHARTON STREET STE #400  ; PITTSBURGH  ; PA  ; 15203-,PITTSBURGH  ,PA
PO358635,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TEXTBOOKS: KINDERGARTEN THRU 5TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 85,$2670.65,03/24/2011,MCGRAW-HILL COMPANIES,1221 AVENUE OF THE AMERICAS ST   ; NEW YORK  ; NY  ; 10020-,NEW YORK  ,NY
PO358673,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$159281.00,03/24/2011,VISION SECURITY SOLUTION,1818 NEW YORK AVE NE  SUITE 212  ; WASHINGTON   ; DC  ; 20002-,WASHINGTON   ,DC
PO358646,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$7500.00,03/24/2011,DMS CONSTRUCTION CONSULTING SE,"5550 STERRETT PLACE, SUITE 300  ; COLUMBIA  ; MD  ; 21044",COLUMBIA  ,MD
PO344723-V2,DEPARTMENT OF TRANSPORTATION,TRANSIT MANAGEMENT SERVICES 91,$238725.00,03/24/2011,HDR ENGINEERING INC.,8404 INDIAN HILLS DRIVE  ; OMAHA  ; NE  ; 68114,OMAHA  ,NE
PO358640,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$33273.00,03/24/2011,"CAREER MINDERS, LLC",5643 ANNENBERG COURT  ; HAYMARKET  ; VA  ; 20169,HAYMARKET  ,VA
PO358643,OFFICE OF CHIEF FINANCIAL OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$33202.80,03/24/2011,SYMANTEC CORPORATION,350 ELLIS STREET   ; MOUNTAIN VIEW  ; CA  ; 94043-,MOUNTAIN VIEW  ,CA
PO358649,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$5200.00,03/24/2011,"SMK ENTERPRISES, INC",5 ASPEN DRIVE  ; LEOLA  ; PA  ; 17540,LEOLA  ,PA
PO357911-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,,$4500.00,03/24/2011,COLONIAL PARKING  INC,"1050 THOMAS JEFFERSON ST., NW                      SUITE 100  ; WASHINGTON  ; DC  ; 20007",WASHINGTON  ,DC
PO358613,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$11057.70,03/24/2011,LOCKHEED MARTIN DESKTOP SOLUTI,2700 PROSPERTY AVENUE  ; FAIRFAX  ; VA  ; 22031,FAIRFAX  ,VA
PO324560-V3,EQUIPMENT LEASE - CAPITAL,COMPUTER NETWORK CONSULTING 30,$11237.16,03/24/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO323276-V2,EQUIPMENT LEASE - CAPITAL,COMPUTER NETWORK CONSULTING 30,$94153.78,03/24/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO351208-V4,DEPARTMENT ON DISABILITY SERVICES,"VOCATIONAL TRAINING, ALL TYPES  (INCLUDING VOCATIONAL REHABILITATION AND TECHNICAL EDUCATION) 86",$33758.48,03/24/2011,ST. JOHN'S COMMUNITY SERVICES,"2201 WISCONSIN AVE , NW   ; WASHINGTON  ; DC  ; 20007-",WASHINGTON  ,DC
PO358599,DEPARTMENT OF PUBLIC WORKS,GRAFFITI REMOVAL SERVICES 44,$10000.00,03/24/2011,DURON PAINT & WALL COVERINGS,10406 TUCKER ST  ; BELTSVILLE  ; MD  ; 20705,BELTSVILLE  ,MD
PO358674,DEPARTMENT OF TRANSPORTATION,MARKETING CONSULTING 76,$980000.00,03/24/2011,THE DESTINATION SALES & M.G.LT,20575 QUARTERPATH TRACE CIRCLE  ; POTOMAC FALLS  ; VA  ; 20165,POTOMAC FALLS  ,VA
PO353563-V3,OFFICE ON AGING,ELDERLY ASSISTANCE SERVICES 40,$37969.00,03/24/2011,FAMILY & CHILD SRVCS OF DC INC,"1509 16TH STREET, NW   ; WASHINGTON  ; DC  ; 20036-",WASHINGTON  ,DC
PO338225-V2,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$35826.66,03/24/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO358615,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$20152.00,03/24/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO321611-V4,EQUIPMENT LEASE - CAPITAL,COMPUTER NETWORK CONSULTING 30,$22285.20,03/24/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO358596,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$45000.00,03/24/2011,MIDTOWN PERSONNEL INC,"900 7TH STREET, NW SUITE 725  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO343206-V5,DEPARTMENT ON DISABILITY SERVICES,"VOCATIONAL TRAINING, ALL TYPES  (INCLUDING VOCATIONAL REHABILITATION AND TECHNICAL EDUCATION) 86",$19037.50,03/24/2011,"THE ARC OF DC, INC.",415 MICHIGAN AVENUE NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO358656,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$24678.00,03/24/2011,"CITY GENERAL, INC.","2010 KENDALL STREET, N.E.   ; WASHINGTON  ; DC  ; 20002-",WASHINGTON  ,DC
PO357213-V3,STATE SUPERINTENDENT OF EDUCATION (OSSE),PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$4960.70,03/24/2011,NRI INC.,1015 18TH ST NW SUITE 710  ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO289561-V2,DEPARTMENT OF TRANSPORTATION,ENGINEERING CONSULTING 42,$159125.85,03/24/2011,HNTB DISTRICT OF COLUMBIA PC,300 M STREET S.E.                                  SUITE 800  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO262976-V2,DEPARTMENT OF TRANSPORTATION,CONSULTING SERVICES 00,$77627.03,03/24/2011,HNTB DISTRICT OF COLUMBIA PC,300 M STREET S.E.                                  SUITE 800  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO264637-V2,DEPARTMENT OF TRANSPORTATION,ENGINEERING CONSULTING 42,$1689033.14,03/24/2011,HNTB DISTRICT OF COLUMBIA PC,300 M STREET S.E.                                  SUITE 800  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO349354-V2,DEPARTMENT OF HUMAN SERVICES,CASE MANAGEMENT 15,$50000.00,03/24/2011,HOUSE OF RUTH (KIDSPACE),FIVE THOMAS CIRCLE NW                              4TH FLOOR  ; WASHINGTON  ; DC  ; 20005-4153,WASHINGTON  ,DC
PO357607-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$88098.38,03/24/2011,THE PITTMAN GROUP INC,"DBA/VANTIX                                         1875 I STREET, NW., SUITE 500  ; WASHINGTON  ; DC  ; 20006",WASHINGTON  ,DC
PO358639,HOMELAND SECURITY/EMERGENCY MANAGEMENT,"TWO-WAY RADIO RECEIVERS, TRANSMITTERS, TRANSCEIVERS: MOBILE AND BASE STATION (AUDIO TRANSFER) 78",$3638.56,03/24/2011,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO358667,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"WRITING SERVICES, ALL KINDS (INCLUDING RESUMES, CALLIGRAPHER/ENGROSSER SERVICES) 90",$4500.00,03/24/2011,FUND FOR EDUCATION AND HUMAN SERVICE,"1234 MASSACHUSETTS AVENUE, NW                      SUITE 113  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO260627-V2,DEPARTMENT OF TRANSPORTATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$180471.87,03/24/2011,HNTB DISTRICT OF COLUMBIA PC,300 M STREET S.E.                                  SUITE 800  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO358675,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$102417.00,03/24/2011,WINMARDUSTIN JOINT VENTURE LLC,1010 WISCONSIN AVE NW SUITE 303  ; WASHINGTON  ; DC  ; 20007,WASHINGTON  ,DC
PO358676,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$600000.00,03/24/2011,WINMARDUSTIN JOINT VENTURE LLC,1010 WISCONSIN AVE NW SUITE 303  ; WASHINGTON  ; DC  ; 20007,WASHINGTON  ,DC
PO358602,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03",$680420.00,03/24/2011,"INSIGHT EDUCATION GROUP, INC.",16130 VENTURA BOULEVARD                            SUITE 300  ; ENCINO  ; CA  ; 91436,ENCINO  ,CA
PO358648,DEPARTMENT OF MOTOR VEHICLES,SOFTWARE MAINTENANCE/SUPPORT 45,$5973.60,03/24/2011,LASON,1305 STEPHENSON HWY   ; TROY   ; MI  ; 48083-,TROY   ,MI
PO347836-V2,OFFICE OF CHIEF FINANCIAL OFFICER,COMPUTER SOFTWARE CONSULTING 29,$300000.00,03/24/2011,"TANDEM CONGLOMERATE, LLC",717 D ST NW                                        SUITE 300  ; WASHINGTON  ; DC  ; 20004-1808,WASHINGTON  ,DC
