PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO319479,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$6700.00,01/04/2010,KET ENTERPRISE DIVISION,560 COOPER DRIVE  ; LEXINGTON  ; KY  ; 40502-2200,LEXINGTON  ,KY
PO321773,"DEPART OF INSURANCE,SECURITIES & BANKING",,$23400.00,01/29/2010,PARKING MANAGEMENT INC.,"1725 DE SALES ST., NW                              SUITE 202  ; WASHINGTON  ; DC  ; 20036",WASHINGTON  ,DC
PO321778,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$5357.00,01/29/2010,AMERICAN SPEECH LGN HEARING AS,10801 ROCKVILLE PIKE  ; ROCKVILLE  ; MD  ; 20852,ROCKVILLE  ,MD
PO321738,DEPARTMENT OF MENTAL HEALTH,"MENTAL HEALTH SERVICES: VOCATIONAL, RESIDENTIAL, ETC. 62",$24018.00,01/29/2010,FOUR WALLS DEVELOPEMENT INC.,"1807 BELMONT RD, NW.                               SUITE 207  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO321739,CHILD AND FAMILY SERVICES,COMPUTER HARDWARE CONSULTING 28,$60096.00,01/29/2010,VERIZON,13101 COLUMBIA PIKE   ; SILVER SPRING  ; MD  ; 20904-,SILVER SPRING  ,MD
PO321772,"DEPART OF INSURANCE,SECURITIES & BANKING",,$6300.00,01/29/2010,COLONIAL PARKING  INC,"1050 THOMAS JEFFERSON ST., NW                      SUITE 100  ; WASHINGTON  ; DC  ; 20007",WASHINGTON  ,DC
PO321787,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,JANITORIAL/CUSTODIAL SERVICES 39,$5000.00,01/29/2010,ARIE'S SUPPLY INC,3921 SOUTH CAPITOL STREET SW                       SUITE 5  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO321770,OFFICE OF MUNICIPAL PLANNING,HISTORICAL PRESERVATION 48,$17500.00,01/29/2010,LENORA EUBANKS,2331 HIGH STREET SE  ; WASHINGTON  ; DC  ; 20020-0020,WASHINGTON  ,DC
PO321733,CHILD AND FAMILY SERVICES,COMPUTER SOFTWARE CONSULTING 29,$133342.88,01/29/2010,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO316769-V2,DEPARTMENT OF MOTOR VEHICLES,COMPUTER SOFTWARE CONSULTING 29,$8542.90,01/29/2010,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO316770-V2,DEPARTMENT OF MOTOR VEHICLES,COMPUTER SOFTWARE CONSULTING 29,$13275.93,01/29/2010,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO311547-V2,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$9666.64,01/29/2010,ERNEST FORD,1314 9TH ST. NW   ; WASHINGTON   ; DC  ; 20001-,WASHINGTON   ,DC
PO319955-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,COMPUTER HARDWARE CONSULTING 28,$10000.00,01/29/2010,DC ASSEMBLY ON SCHOOL-BASED HE,5424 NERASKA AVE. NW  ; WASHINGTON  ; DC  ; 20015,WASHINGTON  ,DC
PO321713,LOTTERY & CHARITABLE GAMES CONTROL BOARD,ADVERTISING/PUBLIC RELATIONS 03,$10000.00,01/29/2010,WASHINGTON WIZARDS,821 CAPITAL CENTRE BLVD. CENTREPLEX OFFICE BLVD.  ; LARGO  ; MD  ; 20774-,LARGO  ,MD
PO321790,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CLEANING EQUIPMENT AND SUPPLIES, LABORATORY 15",$5000.00,01/29/2010,MTW DISTRIBUTORS INC,1235 KENILWORTH AVE NE SUITE#8  ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO321762,FIRE AND EMERGENCY MEDICAL SERVICES,"ARCHITECT SERVICES, PROFESSIONAL 07",$68030.00,01/29/2010,AUSTIN L. SPRIGGS ASSOCIATES,8403 RAMSEY AVENUE   ; SILVER SPRING   ; MD  ; 20910-,SILVER SPRING   ,MD
PO321726,DEPARTMENT OF TRANSPORTATION,CONSTRUCTION CONSULTING 31,$950000.00,01/29/2010,HNTB CORPORATION,715 KIRK DRIVE  ; KANSAS CITY  ; KS  ; 64105,KANSAS CITY  ,KS
PO318617-V2,DEPARTMENT OF PUBLIC WORKS,"PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC. 72",$10000.00,01/29/2010,LASER ART INC,2209 CHANNING STREET NE PO BOX 41083  ; WASHINGTON  ; DC  ; 20018-0483,WASHINGTON  ,DC
PO321824,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$12000.00,01/29/2010,CITY AT PEACE INC,"1333 H ST., NE   ; WASHINGTON  ; DC  ; 20002-",WASHINGTON  ,DC
PO321715,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$38145.00,01/29/2010,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO311542-V2,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$10000.00,01/29/2010,REBECCA LANDWEHR,2103 SCENIC DRIVE   ; JEFFERSON CITY  ; MO  ; 65101-,JEFFERSON CITY  ,MO
PO321801,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"EDUCATIONAL: FOREIGN LANGUAGES, MATH, SCIENCE, SOCIAL STUDIES, ETC. 44",$4000.00,01/29/2010,LIVE IT LEARN IT,"719 E STREET, SE #2  ; WASHINGTON  ; DC  ; 20003",WASHINGTON  ,DC
PO321745,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$250000.00,01/29/2010,WASHINGTON DC ECONOMIC PARTNER,1495 F STREET NW.  ; WASHINGTON  ; DC  ; 20004,WASHINGTON  ,DC
PO313365-V2,DEPARTMENT OF REAL ESTATE SERVICES,"CIRCUIT BREAKERS, LOAD CENTERS, BOXES, AND PANELBOARDS 14",$89200.00,01/29/2010,"CNC, INC","1707 H STREET, N.E. #4  ; WASHINGTON  ; DC  ; 20002-0002",WASHINGTON  ,DC
PO321771,DEPARTMENT OF REAL ESTATE SERVICES,TRUCK AND VAN RENTAL OR LEASE 86,$4641.00,01/29/2010,INTERCON TRUCK OF BALTIMORE,1200 PAULS LANE  ; JOPPA  ; MD  ; 21085,JOPPA  ,MD
PO321779,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$9800.00,01/29/2010,LONG VIEW ASSOCIATES LLC,607 RALEIGH PLACE SE  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO321782,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$9840.00,01/29/2010,LONG VIEW ASSOCIATES LLC,607 RALEIGH PLACE SE  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO321822,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$9800.00,01/29/2010,LONG VIEW ASSOCIATES LLC,607 RALEIGH PLACE SE  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO320212-V2,DEPARTMENT OF PUBLIC WORKS,"WINCHES AND CRANES, AUTOMOTIVE 94",$111632.00,01/29/2010,"NORTHSHORE MANUFACTURING, INC",530 RECYCLE CENTER DRIVE                           PO BOX 273  ; TWO HARBORS  ; MN  ; 55616,TWO HARBORS  ,MN
PO321794,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$600000.00,01/29/2010,AFRICAN HERITAGE DANCERS &,DRUMMERS                                           1320-B GOOD HOPE RD SE  ; WASHINGTON  ; DC  ; 20020,WASHINGTON  ,DC
PO321795,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$1203000.00,01/29/2010,AFRICAN HERITAGE DANCERS &,DRUMMERS                                           1320-B GOOD HOPE RD SE  ; WASHINGTON  ; DC  ; 20020,WASHINGTON  ,DC
PO312583-V2,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$14000.00,01/29/2010,MARQUIS LASELLE PERKINS,"929 O STREET, NW   ; WASHINGTON  ; DC  ; 20009-",WASHINGTON  ,DC
PO321769,OFFICE OF MUNICIPAL PLANNING,HISTORICAL PRESERVATION 48,$19275.00,01/29/2010,ALEXANDER Y. NUSRATY,"1808 9TH STREET, NW  ; WASHINGTON  ; DC  ; 20001",WASHINGTON  ,DC
PO312635-V2,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$14166.66,01/29/2010,YU-YEON KIM,5773 DEVON LANE   ; BURKE  ; VA  ; 22015,BURKE  ,VA
PO321803,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SOFTWARE, COMPUTER, RENTAL OR LEASE 74",$4307.80,01/29/2010,STUDY ISLAND,3400 CARLISLE ST                                   STE 345  ; DALLAS  ; TX  ; 75204,DALLAS  ,TX
PO321725,UNIVERSITY OF THE DISTRICT OF COLUMBIA,EDUCATION AND TRAINING CONSULTING 38,$27468.80,01/29/2010,PLATO LEARNING INC,10801 NESBITT AVESOUTH  ; BLOOMINGTON  ; MN  ; 55437,BLOOMINGTON  ,MN
PO319309-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$8699194.00,01/29/2010,"GCS/SIGAL, LLC",3020 YOST PLACE NE   ; WASHINGTON  ; DC  ; 20018-0018,WASHINGTON  ,DC
PO321826,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$2800.00,01/29/2010,JUSTIN ANDREW YOUNG,"1415 RHODE ISLAND AVE NW, #307   ; WASHINGTON   ; DC  ; 20005",WASHINGTON   ,DC
PO321722,CHILD AND FAMILY SERVICES,TELECOMMUNICATION SERVICES (NOT OTHERWISE CLASSIFIED) 79,$54000.00,01/29/2010,PAETEC COMMUNICATIONS,600 WILLOWBROOK OFFICE PARK  ; FAIRPORT  ; NY  ; 14450,FAIRPORT  ,NY
PO321758,UNIVERSITY OF THE DISTRICT OF COLUMBIA,ADVERTISING/PUBLIC RELATIONS 03,$4750.00,01/29/2010,PARAGON DESIGN INC,77 EAST MAIN STREET  ; NEWARK   ; DE  ; 19711,NEWARK   ,DE
PO321804,DEPART OF YOUTH REHABILITATION SERVICES,YOUTH CARE SERVICES 95,$729783.36,01/29/2010,METROPOLITAN EDUCTATIONAL SOLUTIONS,12138 CENTRAL AVENUE SUITE 407  ; MITCHELLVILLE  ; MD  ; 20721-,MITCHELLVILLE  ,MD
PO321764,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$63631.00,01/29/2010,TURNER CONSTRUCTION COMPANY,3865 WILSON BLVD. SUITE 300   ; ARLINGTON  ; VA  ; 22203-1764,ARLINGTON  ,VA
PO321793,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$16200.00,01/29/2010,LINDSEY ALLARD,8905 WALDEN ROAD  ; SILVER SPRING  ; MD  ; 20901,SILVER SPRING  ,MD
PO321810,OFFICE OF JUSTICE GRANTS ADMINISTRATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$233357.00,01/29/2010,VERA INST. OF JUSTICE INC.,233 BROADWAY 12TH FLOOR  ; NEW YORK  ; NY  ; 10279-,NEW YORK  ,NY
PO321809,OFFICE OF JUSTICE GRANTS ADMINISTRATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$5143.00,01/29/2010,VERA INST. OF JUSTICE INC.,233 BROADWAY 12TH FLOOR  ; NEW YORK  ; NY  ; 10279-,NEW YORK  ,NY
PO311445-V2,OFFICE OF PEOPLE'S COUNSEL,COURIER/DELIVERY SERVICES (INCLUDING AIR COURIER SERVICES) 24,$5000.00,01/29/2010,UNITED PARCEL SERVICE,8440 ARDWICK ROAD  ; LANDOVER  ; MD  ; 20785,LANDOVER  ,MD
PO321728,DEPARTMENT OF TRANSPORTATION,PARKING MANAGEMENT SERVICES 72,$92925.00,01/29/2010,"TAKE A POWER, INC.",147 SPRING STREET   ; PATERSON  ; NJ  ; 07501-,PATERSON  ,NJ
PO321730,DEPARTMENT OF TRANSPORTATION,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$9720.00,01/29/2010,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO321872,UNIVERSITY OF THE DISTRICT OF COLUMBIA,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$10000.00,02/01/2010,RANKIN ORTHO & SPORTS MED,1160 VARNUM ST NE SUITE 312  ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO317132,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"EDUCATIONAL: FOREIGN LANGUAGES, MATH, SCIENCE, SOCIAL STUDIES, ETC. 44",$32500.00,02/01/2010,"IMAGINE LEARNING, INC.",191 RIVER PARK DRIVE   ; PROVO  ; UT  ; 84604-,PROVO  ,UT
PO321887,DEPARTMENT OF MENTAL HEALTH,"MENTAL HEALTH SERVICES: VOCATIONAL, RESIDENTIAL, ETC. 62",$7700.00,02/01/2010,GARY R. MERCER,"203 N STREET SW, APT 503   ; WASHINGTON  ; DC  ; 20024-",WASHINGTON  ,DC
PO310281-V3,DEPARTMENT OF MENTAL HEALTH,"OVENS, MICROWAVE AND CONVECTION (HOUSEHOLD) 52",$42730.47,02/01/2010,PREMIER OFFICE & MEDICAL SUPPL,1020 49TH STREET NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO321943,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TEXTBOOKS: 9TH THRU 12TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 87,$10000.00,02/01/2010,HOLT RINCHART & WINSTON,6277 SEA HARBOR DRIVE  ; ORLANDO  ; FL  ; 32887,ORLANDO  ,FL
PO321883,OFFICE OF CHIEF TECHNOLOGY OFFICER,COVERS AND ENCLOSURES (ACOUSTICAL AND PROTECTIVE) (FOR EQUIPMENT) 34,$3999.75,02/01/2010,TONER EXPRESS USA INC,1818 NEW YORK AVENUE NE SUITE 222  ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO311543-V2,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$3200.00,02/01/2010,LEONICE JOSEPH,"1331 RIGGS STREET, NW  ; WASHINGTON   ; DC  ; 20009",WASHINGTON   ,DC
PO321869,FIRE AND EMERGENCY MEDICAL SERVICES,"SAFETY TRAINING AND AWARENESS SERVICES (HIGHWAY SAFETY, BOATING, SEAT BELT, ETC.) 77",$17500.00,02/01/2010,INTL. ASSOC. OF FIREFIGHTERS,"1750 NEW YORK, N.W.  ; WASHINGTON  ; DC  ; 20006",WASHINGTON  ,DC
PO312637-V2,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$26666.64,02/01/2010,"LAMONT A. HARRELL, JR.","300 HAMILTON STREET, NE #416   ; WASHINGTON  ; DC  ; 20011-",WASHINGTON  ,DC
PO313324-V2,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$10000.00,02/01/2010,RODNEY T. LITTLE,"712 10TH STREET, NE  ; WASHINGTON   ; DC  ; 20002",WASHINGTON   ,DC
PO314927-V2,DEPARTMENT OF REAL ESTATE SERVICES,"GYMNASIUM APPARATUS AND EQUIPMENT: BICYCLE TRAINERS, CLIMBING ROPES, EXERCISER UNITS, GAME STANDARDS, HORIZONTAL, PARALLEL, AND STALL BARS 57",$85584.11,02/01/2010,HEARTLINE FITNESS PRODUCTS,19209 ORBIT DRIVE  ; GAITHERSBURG  ; MD  ; 20879,GAITHERSBURG  ,MD
PO311289-V4,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER NETWORK CONSULTING 30,$61606.60,02/01/2010,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO321921,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$48057.60,02/01/2010,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO321924,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$50060.00,02/01/2010,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO321950,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MODULAR PANEL SYSTEMS, (WITH SYNTHETIC CONNECTING MECHANISM) 55",$4500.00,02/01/2010,METROPOLITAN OFFICE PRODUCTS,910 BARNABY ST SE # 201  ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO315253-V3,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$183742.79,02/01/2010,FAMILY & CHILD SRVCS OF DC INC,"1509 16TH STREET, NW   ; WASHINGTON  ; DC  ; 20036-",WASHINGTON  ,DC
PO321884,HOMELAND SECURITY/EMERGENCY MANAGEMENT,OFFICE EQUIPMENT (NOT COPIERS) 72,$4000.00,02/01/2010,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO321870,FIRE AND EMERGENCY MEDICAL SERVICES,"PRINTING ACCESSORIES AND SUPPLIES (INCL. ELECTROSTATIC TYPES): BLANKETS, CHEMICALS, GUM, INKS, MATS, NEGATIVES, PLATES, ROLLER COVERS, RUBBER REJUVENATORS, SLEEVES, ETC. (SEE  700-30 FOR GRAPHIC ART SUPPLIES) 57",$5000.00,02/01/2010,LASER ART INC,2209 CHANNING STREET NE PO BOX 41083  ; WASHINGTON  ; DC  ; 20018-0483,WASHINGTON  ,DC
PO321910,OFFICE OF THE INSPECTOR GENERAL,MEMBERSHIP DUES 48,$9450.00,02/01/2010,NAT'L ASSOC. OF ATTORNEYS GENE,"2030 M STREET, NW 8TH FLOOR  ; WASHINGTON  ; DC  ; 20036",WASHINGTON  ,DC
PO320754-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,$6399.65,02/01/2010,PAUL BROOKES PUBLISHING,409 WASHINGTON AVENUE SUITE 500  ; TOWSON  ; MD  ; 21204-,TOWSON  ,MD
PO321865,DEPARTMENT OF MENTAL HEALTH,"MENTAL HEALTH SERVICES: VOCATIONAL, RESIDENTIAL, ETC. 62",$3350.00,02/01/2010,MARYLAND FAMILY RESOURCE,"DBA) DC FAMILY RESOURCE                            6192 OXON HILL ROAD, SUITE 510  ; OXON HILL  ; MD  ; 20745",OXON HILL  ,MD
PO321927,DEPARTMENT OF MENTAL HEALTH,"COMPUTERS, PARTS AND SUPPLIES 29",$3899.60,02/01/2010,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO312393-V2,OFFICE OF EMPLOYEE APPEALS,,$13000.00,02/01/2010,PRO-TYPISTS INC,"3235 P STREET, N.W.   ; WASHINGTON  ; DC  ; 20007-2885",WASHINGTON  ,DC
PO321916,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$5000.00,02/01/2010,FUND FOR EDUCATION AND HUMAN SERVICE,"1234 MASSACHUSETTS AVENUE, NW                      SUITE 113  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO321941,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$5000.00,02/01/2010,FUND FOR EDUCATION AND HUMAN SERVICE,"1234 MASSACHUSETTS AVENUE, NW                      SUITE 113  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO321871,STATE SUPERINTENDENT OF EDUCATION (OSSE),DATA RECOVERY SERVICES 23,$4950.00,02/01/2010,TACTICAL DIGITAL CORP,7410 TOMCRIS COURT  ; SPRINGFIELD  ; VA  ; 22153,SPRINGFIELD  ,VA
PO321954,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$3700.00,02/01/2010,"LMO & ASSOCIATES,LLC",1725 HIGHWOOD PLACE S.E.  ; WASHINGTON  ; DC  ; 20020,WASHINGTON  ,DC
PO321894,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$110000.00,02/01/2010,ENERGY PROGRAMS CONSORTIUM,"1232 31ST STREET, NW   ; WASHINGTON  ; DC  ; 20007-",WASHINGTON  ,DC
PO321922,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"EDUCATIONAL SERVICES, ALTERNATIVE 18",$4000.00,02/01/2010,LIVE IT LEARN IT,"719 E STREET, SE #2  ; WASHINGTON  ; DC  ; 20003",WASHINGTON  ,DC
PO321942,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TEXTBOOKS: KINDERGARTEN THRU 5TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 85,$10000.00,02/01/2010,"PEARSON EDUCATION, INC.",ONE LAKE STREET  ; UPPER SADDLE RIVER  ; NJ  ; 07458,UPPER SADDLE RIVER  ,NJ
PO321907,FIRE AND EMERGENCY MEDICAL SERVICES,"TRAINING EQUIPMENT AND SUPPLIES, FIRE AND SAFETY 87",$22148.00,02/01/2010,"BULLEX, INC.",20 CORPORATE CIRCLE  ; ALBANY  ; NY  ; 12203,ALBANY  ,NY
PO321955,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$2700.00,02/01/2010,STARR COMMONWWEALTH,13725 STARR COMMONWEALTH RD  ; ALBION  ; MI  ; 49224,ALBION  ,MI
PO321953,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$5000.00,02/01/2010,GARY A. JOHNSON CO. & ASSOC.,6503  OLD BRANCH AVENUE                            SUITE 202  ; TEMPLE HILLS  ; MD  ; 20748,TEMPLE HILLS  ,MD
PO321893,DEPARTMENT OF HUMAN SERVICES,"COPY MACHINE, PLAIN PAPER TYPE (INCLUDING COST-PER-COPY TYPE LEASES) RENTAL OR LEASE 26",$31269.28,02/01/2010,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO321951,DEPART OF YOUTH REHABILITATION SERVICES,"UNIFORMS, COTTON 86",$28404.50,02/01/2010,AMERICAN SUPPLY COMPANY,316 F. ST. NE. 103  ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO321933,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TEXTBOOKS: KINDERGARTEN THRU 5TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 85,$10000.00,02/01/2010,HARCOURT INC,6277 SEA HARBOR DRIVE  ; ORLANDO  ; FL  ; 32887,ORLANDO  ,FL
PO321890,METROPOLITAN POLICE DEPARTMENT,FIRE AND POLICE EQUIPMENT (NOT OTHERWISE CLASSIFIED) 42,$22510.42,02/01/2010,"HARRIS COLLISION REPAIR, LLC",11322 OLD BALTIMORE PIKE  ; BELTSVILLE  ; MD  ; 20705,BELTSVILLE  ,MD
PO321932,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TEXTBOOKS: KINDERGARTEN THRU 5TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 85,$20000.00,02/01/2010,MCGRAW-HILL COMPANIES,1221 AVENUE OF THE AMERICAS ST   ; NEW YORK  ; NY  ; 10020-,NEW YORK  ,NY
PO321892,COUNCIL OF THE DISTRICT OF COLUMBIA,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$3164.04,02/01/2010,TECKNOMIC LLC,747 PRINCETON PL NW   ; WASHINGTON  ; DC  ; 20010-,WASHINGTON  ,DC
PO321934,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TEXTBOOKS: 9TH THRU 12TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 87,$10420.00,02/01/2010,"CHINA SPROUT, INC.",110 WEST 32ND ST. 6TH FL  ; NEW YORK  ; NY  ; 10001-,NEW YORK  ,NY
PO321909,DEPARTMENT OF HEALTH,ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05,$15850.00,02/01/2010,ANDREA P. MATTISON,4615 NORTH PARK AVE. APT. 1706   ; CHEVY CHASE  ; MD  ; 20825-,CHEVY CHASE  ,MD
PO321944,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PERIPHERALS, MISCELLANEOUS: JOY STICKS, GRAPHIC DIGITIZERS, LIGHT PENS, MICE, PEN PADS, TRACKBALLS, ETC. 68",$3840.00,02/01/2010,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO322002,DEPT. OF HOUSING AND COMM. DEVELOPMENT,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",$15370.87,02/02/2010,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO322011,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOARDS: CALENDAR, SCHEDULE, DISPATCH, MANNING, ETC. 14",$10700.00,02/02/2010,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO321988,OFF PUBLIC ED FACILITIES MODERNIZATION,"MAINTENANCE AND REPAIR, SWIMMING POOL (INCLUDES WATER TREATMENT) 63",$75000.00,02/02/2010,"MILLENNIUM POOL AND SPA, LLC",8927 LAKE BRADDOCK DR  ; BURKE  ; VA  ; 22015,BURKE  ,VA
