PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO246222,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$28099.00,01/02/2008,GPS NORTH AMERICA,40 STEEPLECHASE DRIVE  ; HOLLAN  ; PA  ; 18966,HOLLAN  ,PA
PO247641,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$73345.85,01/17/2008,MARY MCLEOD BETHUNE DAY ACAD.,"5413 16TH STREET, N.W.   ; WASHINGTON  ; DC  ; 20011-",WASHINGTON  ,DC
PO247605,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$11026.79,01/17/2008,HOSPITALITY HIGH SCHOOL OF DC,"4301 13TH STREET, NW                               THIRD FLOOR  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO247613,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$14926.89,01/17/2008,MARY MCLEOD BETHUNE DAY ACAD.,"5413 16TH STREET, N.W.   ; WASHINGTON  ; DC  ; 20011-",WASHINGTON  ,DC
PO247642,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$54574.86,01/17/2008,MAYA ANGELOU PCS,"1851 9TH STREET, NW  ; WASHINGTON  ; DC  ; 20001",WASHINGTON  ,DC
PO247708,STATE SUPERINTENDENT OF EDUCATION (OSSE),PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$5400.00,01/17/2008,"INTERCALL, INC",8420 WEST BRYN MAWR                                SUITE 400  ; ATLANTA  ; GA  ; 30384,ATLANTA  ,GA
PO240072-V2,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"PLUMBING MAINTENANCE AND REPAIR (INCLUDES TOILETS, ETC.) 60",$40000.00,01/17/2008,WRIGHT BROTHER PLUMBING,"2904 12TH STREET, NE  ; WASHINGTON  ; DC  ; 20017",WASHINGTON  ,DC
PO247615,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$6252.30,01/17/2008,MEI FUTURES ACADEMY PCS,"1455 PENNSYLVANIA AVE., N.W.                       SUITE 100  ; WASHINGTON  ; DC  ; 20004",WASHINGTON  ,DC
PO247650,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$75888.54,01/17/2008,OPTIONS PUBLIC CHARTER SCHOOL,1375 E STREET NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO247666,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$114179.50,01/17/2008,"WILLIAM E DOAR, JR. PCS",705 EDGEWOOD STREET NE                             2ND FLOOR  ; WASHINGTON  ; DC  ; 20017,WASHINGTON  ,DC
PO245028-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CONCESSIONS, CATERING, VENDING: MOBILE AND STATIONARY 15",$100800.00,01/17/2008,CENTERPLATE/NBSE,"801 MT.VERNON PL, NW.  ; WASHINGTON  ; DC  ; 20001",WASHINGTON  ,DC
PO247627,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$23017.68,01/17/2008,THURGOOD MARSHALL ACADEMY,"2427 MLK, JR AVENUE, SE  ; WASHINGTON  ; DC  ; 20032",WASHINGTON  ,DC
PO247570,DEPART OF YOUTH REHABILITATION SERVICES,COPY MACHINE MAINTENANCE AND REPAIR 27,$33015.10,01/17/2008,XEROX CORPORATION,26600 SW PARKWAY AVENUE                            M/S 60-372  ; WILSONVILLE  ; OR  ; 97070,WILSONVILLE  ,OR
PO247656,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$47036.35,01/17/2008,ST. COLETTA SPECIAL EDUCATION,1901 INDEPENDANCE AVE SE  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO247668,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$30587.31,01/17/2008,INTEGRATED DESIGN ELECTRONICS,1027 45TH STREET NE  ; WASHINGTON  ; DC  ; 20019-3082,WASHINGTON  ,DC
PO247625,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$12325.70,01/17/2008,ST. COLETTA SPECIAL EDUCATION,1901 INDEPENDANCE AVE SE  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO247510,METROPOLITAN POLICE DEPARTMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$11250.00,01/17/2008,UNITED GENERAL CONTRACTOR,"606B RHODE ISLAND AVENUE, NE  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO247632,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$154203.58,01/17/2008,HYDE LEADERSHIP PCS WASH,101 T STREET NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO247603,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$43580.41,01/17/2008,HYDE LEADERSHIP PCS WASH,101 T STREET NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO247658,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$90474.34,01/17/2008,THURGOOD MARSHALL ACADEMY,"2427 MLK, JR AVENUE, SE  ; WASHINGTON  ; DC  ; 20032",WASHINGTON  ,DC
PO247669,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$118410.21,01/17/2008,INTEGRATED DESIGN ELECTRONICS,1027 45TH STREET NE  ; WASHINGTON  ; DC  ; 20019-3082,WASHINGTON  ,DC
PO247757,OFFICE OF THE ATTORNEY GENERAL,"CARBON PAPER, TYPEWRITER 21",$3993.82,01/17/2008,GATEKEEPERS INTERNET MARKETING,1654 - 33RD ST. NW  ; WASHINGTON  ; DC  ; 20007,WASHINGTON  ,DC
PO247623,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$7980.08,01/17/2008,WVSA SCHOOL FOR ARTS,1100 16TH ST NW  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO247639,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$225724.00,01/17/2008,KIPP DC/KEY ACADEMY PCS,910 17TH STREET NW                                 SUITE 1050  ; WASHINGTON  ; DC  ; 20006,WASHINGTON  ,DC
PO247601,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$97590.85,01/17/2008,HOPE COMMUNITY CHARTER SCHOOL,"2917 8TH STREET, N.E.  ; WASHINGTON  ; DC  ; 20017",WASHINGTON  ,DC
PO247699,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATIONAL SERVICES 00,$3771.30,01/17/2008,RIVERSIDE PUBLISHING,3800 GOLF ROAD SUITE 100  ; ROLLING MEADOWS  ; IL  ; 60008-4015,ROLLING MEADOWS  ,IL
PO247759,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATIONAL SERVICES 00,$2999.95,01/17/2008,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO247765,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATIONAL SERVICES 00,$8500.00,01/17/2008,AYO ATTERBERRY,7101 13TH AVENUE  ; TAKOMA PARK  ; MD  ; 20912,TAKOMA PARK  ,MD
PO247530,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$23875.00,01/17/2008,WASHINGTON STORYTELLERS THEATR,"3026 PORTER STREET, NW                             #102  ; WASHINGTON  ; DC  ; 20008",WASHINGTON  ,DC
PO247609,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$27280.68,01/17/2008,IDEAL ACADEMY PCS,"6130 N CAPITOL ST, NW   ; WASHINGTON  ; DC  ; 20011-",WASHINGTON  ,DC
PO247523,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$5000.00,01/17/2008,KATHLEEN HUNTLEY COONS,"1100 F STREET, NE                                  #302  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO247529,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$30000.00,01/17/2008,WASHINGTON STORYTELLERS THEATR,"3026 PORTER STREET, NW                             #102  ; WASHINGTON  ; DC  ; 20008",WASHINGTON  ,DC
PO245504-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$20721.59,01/17/2008,ACADEMY FOR LEARNING THROUGH,1600 TAYLOR STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO247731,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$5741.12,01/17/2008,ACADEMY FOR LEARNING THROUGH,1600 TAYLOR STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO247556,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$3000.00,01/17/2008,JOHN L DREYFUSS,3400 PROSPECT STREET NW  ; WASHINGTON  ; DC  ; 20007,WASHINGTON  ,DC
PO247575,OFFICE OF THE SECRETARY,"VIDEO AND AUDIO SYSTEMS, ACCESSORIES AND PARTS (CLOSED CIRCUIT TV) (INCLUDING SURVEILLANCE TYPE) 84",$43925.00,01/17/2008,ADT SECURITY SERVICES,3601 EISENHOWER AVE.                               3RD FLOOR  ; ALEXANDRIA  ; VA  ; 22304,ALEXANDRIA  ,VA
PO247551,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$3750.00,01/17/2008,PARKMONT SCHOOL,"4842 16TH STREET, N.W.  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO247515,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$5000.00,01/17/2008,ALEXANDRA D. GARDNER,"2480 16TH STREET, NW                               #828  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO247733,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$49161.88,01/17/2008,ARTS & TECHNOLOGY ACAD PCS,5300 BLAINE STREET NE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO247562,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$30000.00,01/17/2008,HELANIUS J. WILKINS - EDGEWORK,"1643 CONNECTICUT AVENUE, NW                        4TH FLOOR  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO245502-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$218820.05,01/17/2008,ARTS & TECHNOLOGY ACAD PCS,5300 BLAINE STREET NE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO247750,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$80000.00,01/17/2008,CONGRESS HEIGHTS TRAINING,"CENTER, INC.                                       3215 MARTIN L. KING AVE., S.E.  ; WASHINGTON  ; DC  ; 20032",WASHINGTON  ,DC
PO247749,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$75000.00,01/17/2008,ALLIANCE OF CONCERNED MEN,2905 11TH STREET NW                                SUITE 101  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO247732,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$342126.43,01/17/2008,CESAR CHAVEZ PCS,709 12TH STREET SE  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO247521,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$5000.00,01/17/2008,THE THEATRE GROUP FOR PERSONS,"4431 ELLICOTT STREET, NW  ; WASHINGTON  ; DC  ; 20016",WASHINGTON  ,DC
PO247738,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$85444.21,01/17/2008,CESAR CHAVEZ PCS,709 12TH STREET SE  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO247767,OFFICE OF CHIEF FINANCIAL OFFICER,PRINTING AND RELATED SERVICES 00,$16996.00,01/17/2008,BALMAR INCORPORATED,16780 OAKMONT AVE  ; GAITHERSBURG  ; MD  ; 20877-4112,GAITHERSBURG  ,MD
PO247770,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$75520.00,01/17/2008,"COMPASS SOLUTIONS, LLC",1101 PENNSYLVANIA AVE NW                           SUITE 600  ; WASHINGTON  ; DC  ; 20004,WASHINGTON  ,DC
PO247636,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$123861.74,01/17/2008,IDEAL ACADEMY PCS,"6130 N CAPITOL ST, NW   ; WASHINGTON  ; DC  ; 20011-",WASHINGTON  ,DC
PO247702,DEPARTMENT OF PUBLIC WORKS,"CABLE CONSTRUCTION, INSTALLATION AND MAINTENANCE (FIBER OPTIC, COMMUNICATION, COMPUTER, ETC.) 18",$5952.00,01/17/2008,COMPUTER WORLD SERVICES CORP,666 11TH STREET NW                                 SUITE 625  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO247764,OFFICE OF CONTRACTING AND PROCUREMENT,"SCIENTIFIC, STATISTICAL, ENGINEERING, MATHEMATICAL, AND MAPPING SOFTWARE (INCLUDING PHOTOGRAMMETRY) 82",$3058.30,01/17/2008,"TABLEAU SOFTWARE, INC.",400 NORTH 34TH STREET STE 200  ; SEATTLE  ; WA  ; 98103-,SEATTLE  ,WA
PO247580,STATE SUPERINTENDENT OF EDUCATION (OSSE),MEMBERSHIP DUES 48,$4158.00,01/17/2008,STATE HIGHER EDUCATION EXECUTI,3035 CENTER GREEN DRIVE SUITE 100  ; BOULDER  ; CO  ; 80301-,BOULDER  ,CO
PO247560,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$15000.00,01/17/2008,POST CLASSICAL ENSEMBLE,5104 44TH STREET NW  ; WASHINGTON  ; DC  ; 20016-4039,WASHINGTON  ,DC
PO247752,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$80000.00,01/17/2008,ARCH TRAINING CENTER INC,"1227 GOOD HOPE RD., SE   ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO247746,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$10124.96,01/17/2008,BILINGUAL COMMUNITY ACADEMY,"209 UPSHUR STREET, NW   ; WASHINGTON  ; DC  ; 20011-",WASHINGTON  ,DC
PO245506-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$39319.56,01/17/2008,BILINGUAL COMMUNITY ACADEMY,"209 UPSHUR STREET, NW   ; WASHINGTON  ; DC  ; 20011-",WASHINGTON  ,DC
PO247726,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$23917.01,01/17/2008,CITY LIGHTS PCS,"62 T STREET, NE                                    ROOM 300  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO247528,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$27000.00,01/17/2008,ENVIRONMENTAL FILM FESTIVAL IN,"1228 1/2 31ST STREET, NW  ; WASHINGTON  ; DC  ; 20007",WASHINGTON  ,DC
PO247740,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$5999.83,01/17/2008,CITY LIGHTS PCS,"62 T STREET, NE                                    ROOM 300  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO247527,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$30000.00,01/17/2008,ENVIRONMENTAL FILM FESTIVAL IN,"1228 1/2 31ST STREET, NW  ; WASHINGTON  ; DC  ; 20007",WASHINGTON  ,DC
PO247743,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$38623.83,01/17/2008,"DC PREPARATORY ACADEMY,PCS",707 EDGEWOOD STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO247659,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$29211.64,01/17/2008,TRI-COMMUNITY PCS,3700 NORTH CAPTIAL STREET NW                       BOX 1313  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO247628,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$5488.20,01/17/2008,TRI-COMMUNITY PCS,3700 NORTH CAPTIAL STREET NW                       BOX 1313  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO247643,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$35064.78,01/17/2008,MEI FUTURES ACADEMY PCS,"ATTN: AMINYAH MUHAMMAD-M"BACKE 6000 NEW HAMPSHIRE AVE., NE  ; WASHINGTON  ; DC  ; 20011-",WASHINGTON  ,DC
PO247768,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$13440.00,01/17/2008,DBTS,"1100 H STREET, NW                                  SUITE 600  ; WASHINGTON,  ; DC  ; 20005","WASHINGTON,  ",DC
PO247647,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$176000.81,01/17/2008,MERIDIAN PUBLIC CHARTER SCHOOL,"1328 FLORIDA AVENUE, NW  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO239261-V2,DEPARTMENT ON DISABILITY SERVICES,TRANSITIONAL LIVING 92,$24732.72,01/17/2008,UNIVERSAL FOUNDATION,"3230 PENNSYLVANIA AVE, SE  ; WASHINGTON, DC  ; DC  ; 20020","WASHINGTON, DC  ",DC
PO247695,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,FEASIBILITY STUDIES (CONSULTING) 46,$5000.00,01/17/2008,CSG ADVISORS,ONE POST STREET                                    #2130  ; SAN FRANCISCO  ; CA  ; 94104,SAN FRANCISCO  ,CA
PO247584,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$3000.00,01/17/2008,STORAGE USA,"1420 U STREET, NW  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO247604,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$39331.83,01/17/2008,HOWARD ROAD ACADEMY PCS,"701 HOWARD ROAD, SE   ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO247635,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$149796.86,01/17/2008,HOWARD ROAD ACADEMY PCS,"701 HOWARD ROAD, SE   ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO247621,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$35425.73,01/17/2008,PAUL JUNIOR HIGH PCS,5800 8TH STREET NW  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO247651,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$126026.43,01/17/2008,PAUL JUNIOR HIGH PCS,5800 8TH STREET NW  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO247616,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$35740.31,01/17/2008,MERIDIAN PUBLIC CHARTER SCHOOL,"1328 FLORIDA AVENUE, NW  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO247631,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$36093.05,01/17/2008,WASHINGTON MATH SCIENCE PCHS,"1920 BLADENSBURG ROAD, NE  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO247665,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$147640.59,01/17/2008,WASHINGTON MATH SCIENCE PCHS,"1920 BLADENSBURG ROAD, NE  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO247706,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,FINANCIAL ADVISOR 48,$200000.00,01/17/2008,CSG ADVISORS,ONE POST STREET                                    #2130  ; SAN FRANCISCO  ; CA  ; 94104,SAN FRANCISCO  ,CA
PO247717,METROPOLITAN POLICE DEPARTMENT,GUARD AND SECURITY SERVICES 46,$9100000.00,01/17/2008,HAWK ONE SECURITY INC.,1400 EYE STREET NW                                 SUITE 1100  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO247522,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$5000.00,01/17/2008,JEREMY SKIDMORE,"821 MARYLAND AVENUE, NE                            #301  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO247511,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$10000.00,01/17/2008,RODERICK TURNER,"800 SOUTHERN AVENUE, SE                            APT.1017  ; WASHINGTON  ; DC  ; 20032",WASHINGTON  ,DC
PO247516,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$5000.00,01/17/2008,AYANNA GREGORY,"907 EUCLID STREET, NW                              APT. 101  ; WASHINGTON  ; DC  ; 20001",WASHINGTON  ,DC
PO247754,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$90000.00,01/17/2008,ACADEMY OF HOPE,"601 EDGEWOOD STREET, NE SUITE #25  ; WASHINGTON  ; DC  ; 20017-",WASHINGTON  ,DC
PO247654,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$87119.51,01/17/2008,SEED FOUNDATION,4300 C STREET                                      NE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO247620,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$22591.21,01/17/2008,SEED FOUNDATION,4300 C STREET                                      NE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO247667,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$41764.36,01/17/2008,YOUNG AMERICA WORKS PCS,6015-17 CHILLUM PLACE NE  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO247634,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$13904.09,01/17/2008,YOUNG AMERICA WORKS PCS,6015-17 CHILLUM PLACE NE  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO247588,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"DISPLAYS, EDUCATIONAL: KITS, MODELS, PLAQUES, ETC. 44",$5561.60,01/17/2008,"PEARSON EDUCATION, INC.",ONE LAKE STREET  ; UPPER SADDLE RIVER  ; NJ  ; 07458,UPPER SADDLE RIVER  ,NJ
PO247617,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$4576.41,01/17/2008,NEXT STEP PCS,"1419 COLUMBIA ROAD, NW  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO247648,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$18427.56,01/17/2008,NEXT STEP PCS,"1419 COLUMBIA ROAD, NW  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO247626,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$28876.68,01/17/2008,WASHINGTON ACADEMY PCS,"WASHINGTON ACADEMY PCS                             3000 PENNSYLVANIA AVE., SE  ; WASHINGTON  ; DC  ; 20020",WASHINGTON  ,DC
PO247661,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$114943.13,01/17/2008,WASHINGTON ACADEMY PCS,"WASHINGTON ACADEMY PCS                             3000 PENNSYLVANIA AVE., SE  ; WASHINGTON  ; DC  ; 20020",WASHINGTON  ,DC
PO247700,HOMELAND SECURITY/EMERGENCY MANAGEMENT,COPYING SERVICES (REPRODUCTION) 18,$402000.00,01/17/2008,GOVERNMENT PRINTING OFFICE (GP,732 NORTH CAPITAL STREET NW                        MAIL STOP C830  ; WASHINGTON  ; DC  ; 20401,WASHINGTON  ,DC
PO236698-V2,CRIMINAL JUSTICE COORDINATING COUNCIL,"OFFICE SUPPLIES, GENERAL 00",$34500.00,01/17/2008,US BANK GOVERNMENT SERVICES,"4325 17TH AVE SW  ; FARGO,  ; ND  ; 58103","FARGO,  ",ND
PO247716,METROPOLITAN POLICE DEPARTMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$29055.00,01/17/2008,SERVICE MECHANCIAL INC,5601 N GENERAL WASHINGTON DR  ; ALEXANDRIA  ; VA  ; 22312-2312,ALEXANDRIA  ,VA
PO247705,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,IN-SERVICE TRAINING (FOR EMPLOYEES) 35,$3165.75,01/17/2008,ASSOCIATION FOR SUPERVISION AN,1703 NORTH BORAGARD ST  ; ALEXANDRIA  ; VA  ; 22311,ALEXANDRIA  ,VA
PO247771,METROPOLITAN POLICE DEPARTMENT,SOFTWARE MAINTENANCE/SUPPORT 45,$32945.00,01/17/2008,ANCHOR TECHNOLOGIES INC.,2 COMPROMISE STREET   ; ANNAPOLIS  ; MD  ; 21401-,ANNAPOLIS  ,MD
PO247618,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$5588.30,01/17/2008,NIA COMMUNITY PCS,100 41 ST. NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
