PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS
PO363253,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,2949.5,05/26/2011,OPPORTUNITIES INDUSTRIAL CENTER,"3707 MLK AVENUE SE, WASHINGTON, DC, 20032"
PO363166,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,150000,05/26/2011,DC CHILDREN YOUTH INVESTMENT,"1400 16TH STREET NW, WASHINGTON, DC, 20036"
PO363209,DEPARTMENT OF MOTOR VEHICLES,"SCANNERS, DOCUMENT: HANDHELD, DESKTOP AND HIGH VOLUME 88",22828.8,05/26/2011,DIGI DOCS INC DOCUMENT MGERS,"510 FLORIDA AVE NW, WASHINGTON, DC, 20001"
PO359326-V2,BOARD OF ELECTIONS & ETHICS,"PUBLICATIONS PRINTED ON NEWSPRINT OR GROUNDWOOD PAPER STOCK (QUAN. OVER 100,000) 74",6930,05/26/2011,THE WASHINGTON POST,"1150 15TH STREET NW, WASHINGTON, DC, 20071"
PO357866-V3,HOMELAND SECURITY GRANTS,COMPUTER SOFTWARE CONSULTING 29,17738.88,05/26/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO344934-V3,CHILD AND FAMILY SERVICES,COMPUTER SOFTWARE CONSULTING 29,141960,05/26/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO331206-V3,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER NETWORK CONSULTING 30,78791.8,05/26/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO339822-V3,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,10190.31,05/26/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO339820-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,7912.74,05/26/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO361727-V2,DEPARTMENT OF EMPLOYMENT SERVICES,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,107712,05/26/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO363235,DEPT. OF HOUSING AND COMM. DEVELOPMENT,COMPUTER NETWORK CONSULTING 30,3810,05/26/2011,PROJECTION VIDEO SERV. INC.,"5803 ROLLING ROAD SUITE 207, SPRINGFIELD, VA, 22152"
PO358816-V2,BOARD OF ELECTIONS & ETHICS,TRANSPORTATION OF GOODS AND OTHER FREIGHT SERVICES 86,41536.97,05/26/2011,PAXTON VAN LINES,"5300 PORT ROYAL ROAD, SPRINGFIELD, VA, 22151"
PO348991-V2,DEPARTMENT OF TRANSPORTATION,"CONSTRUCTION, HIGHWAY AND ROAD 27",3430,05/26/2011,TONG TRUCKING,"9712 CANARY CT, SPRINGDALE, MD, 20774"
PO363232,DEPARTMENT OF HEALTH,WIRING AND OTHER ELECTRICAL MAINTENANCE AND REPAIR SERVICES 82,4875,05/26/2011,BIG INCORPORATED,"2800 BLADENSBURG ROAD NE, WASHINGTON, DC, 20018"
PO363234,DC PUBLIC LIBRARY,"FIRE PROTECTION EQUIPMENT AND SYSTEMS INCLUDING FIRE HYDRANTS, FIRE SPRINKLER SYSTEMS, SMOKE DETECTORS, JAWS OF LIFE, FIRE PROTECTION MATERIAL TREATMENT, ETC. MAINTENANCE AND REPAIR 33",4418.5,05/26/2011,HAISLIP CORPORATION,"14325 F WILLARD RD, CHANTILLY, VA, 20151"
PO361393-V2,DC PUBLIC LIBRARY,"LEGAL SERVICES, ATTORNEYS 49",50000,05/26/2011,ARENT FOX KINTNER PLOTKIN,"1050 CONNECTICUT AVENUE NW, WASHINGTON, DC, 20036"
PO363240,DEPARTMENT OF MENTAL HEALTH,"PUBLICATIONS PRINTED ON NEWSPRINT OR GROUNDWOOD PAPER STOCK (QUAN. UP TO 100,000) 73",3996,05/26/2011,DETAILS INTERNATIONAL,"1025 CONNECTICUT AVENUE NW SUITE 1000, WASHINGTON, DC, 20036"
PO363249,DEPARTMENT OF MENTAL HEALTH,"PUBLICATIONS PRINTED ON NEWSPRINT OR GROUNDWOOD PAPER STOCK (QUAN. UP TO 100,000) 73",4775,05/26/2011,DETAILS INTERNATIONAL,"1025 CONNECTICUT AVENUE NW SUITE 1000, WASHINGTON, DC, 20036"
PO363247,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RESOURCE BOOKS AND MATERIALS (NOT OTHERWISE CLASSIFIED) 87,8403.78,05/26/2011,INTAC INC,"1110 FIDLER LANE, SILVER SPRING, MD, 20910"
PO363195,DC PUBLIC LIBRARY,"NETWORK COMPONENTS: ADAPTER CARDS, BRIDGES, CONNECTORS, EXPANSION MODULES/PORTS, FIREWALL DEVICES, HUBS, LINE DRIVERS, MSAUS, ROUTERS, TRANSCEIVERS, ETC. 64",4131.6,05/26/2011,"MVS, INC.","1401 14TH STREET NW, WASHINGTON, DC, 20005"
PO363256,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TOKENS 88,4800,05/26/2011,WASH METRO AREA TRANSIT AUTH,"600 5TH STREET NW, WASHINGTON, DC, 20001"
PO363230,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,COURIER/DELIVERY SERVICES (INCLUDING AIR COURIER SERVICES) 24,5000,05/26/2011,MIGUEL D. TARVER DBA/MDT RUSH,"3157 APPLE ROAD NE, WASHINGTON, DC, 200181605"
PO363200,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RESOURCE BOOKS AND MATERIALS (NOT OTHERWISE CLASSIFIED) 87,106554.89,05/26/2011,HOUGHTON MIFFLIN CO INC,"222 BERKELEY STREET, BOSTON, MA, 02116"
PO363236,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,4362.05,05/26/2011,CENTERPLATE/NBSE,"801 MT.VERNON PL, NW., WASHINGTON, DC, 20001"
PO363199,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RESOURCE BOOKS AND MATERIALS (NOT OTHERWISE CLASSIFIED) 87,115435.95,05/26/2011,MCGRAW-HILL COMPANIES,"1221 AVENUE OF THE AMERICAS, NEW YORK, NY, 10020"
PO363254,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,6500,05/26/2011,HEAVY EQUIPMENT TRNG ACADEMY,"1 DC VILLAGE LANE SW, WASHINGTON, DC, 20032"
PO361637-V2,DEPARTMENT OF PUBLIC WORKS,AUDITING 20,19100,05/27/2011,MHM FINANCIAL SERVICES INC.,"1126 6TH STREET, NW, WASHINGTON, DC, 20001"
PO363301,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,4250,05/27/2011,"PUBLIC CONSULTING GROUP, INC.","148 STATE ST, BOSTON, MA, 02109"
PO363345,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,500945,05/27/2011,R MCGHEE & ASSOCIATES,"740 6TH STREET, NW SUITE 302, WASHINGTON, DC, 20001"
PO363335,DEPARTMENT OF HEALTH,YOUTH CARE SERVICES 95,60000,05/27/2011,NATIONAL CAPITAL COALITION,"5335 WISC. AVE NW, WASHINGTON, DC, 20015"
PO363337,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,14500,05/27/2011,HEAVY EQUIPMENT TRNG ACADEMY,"1 DC VILLAGE LANE SW, WASHINGTON, DC, 20032"
PO363346,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,40000,05/27/2011,FAIRNESS ENVIRONMENTAL SERVICE,"3109 MARTIN LUTHER KING JR. AV, WASHINGTON, DC, 20032"
PO363334,DEPARTMENT OF HEALTH,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,125358,05/27/2011,RESEARCH TRIANGLE INSTITUTE,"3040 CORNWALLIS ROAD, RESEARCH TRIANGLE PK, NC, 277092194"
PO363338,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,7550,05/27/2011,NATIONAL HOUSING CORPORATION,"820 H STREET NE, WASHINGTON, DC, 20002"
PO363278,DEPARTMENT OF TRANSPORTATION,"TRAFFIC SIGNAL POLES, STANDARDS, AND BRACKETS 85",149889.2,05/27/2011,M C DEAN INC,"22461 SHAW ROAD, DULLES, VA, 20166"
PO363277,DEPARTMENT OF TRANSPORTATION,"TRAFFIC SIGNAL POLES, STANDARDS, AND BRACKETS 85",170462.35,05/27/2011,M C DEAN INC,"22461 SHAW ROAD, DULLES, VA, 20166"
PO363276,DEPARTMENT OF TRANSPORTATION,"TRAFFIC SIGNAL POLES, STANDARDS, AND BRACKETS 85",102711.7,05/27/2011,M C DEAN INC,"22461 SHAW ROAD, DULLES, VA, 20166"
PO363344,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,5126.6,05/27/2011,BB&B PROFESSIONAL MOVERS,"2849 GEORGIA AVE NW, WASHINGTON, DC, 20001"
PO363342,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,6199.8,05/27/2011,BB&B PROFESSIONAL MOVERS,"2849 GEORGIA AVE NW, WASHINGTON, DC, 20001"
PO363343,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,6087,05/27/2011,BB&B PROFESSIONAL MOVERS,"2849 GEORGIA AVE NW, WASHINGTON, DC, 20001"
PO363279,DEPARTMENT OF HEALTH,COMPUTER NETWORK CONSULTING 30,82103,05/27/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO363340,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,12588.8,05/27/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO363339,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,15366.4,05/27/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO352687-V3,METROPOLITAN POLICE DEPARTMENT,COMPUTER SOFTWARE CONSULTING 29,88535.97,05/27/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO363303,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,25000,05/27/2011,COLLABORATIVE COMMUNICATIONS,"1029 VERMONT AVENUE 9TH FLOOR, WASHINGTON, DC, 20005"
PO308236-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,13781,05/27/2011,"LOURENCO CONSULTANTS, INC","5171 MACARTHUR BLVD., NW  SUITE 100, WASHINGTON, DC, 20016"
PO363351,EQUIPMENT LEASE - CAPITAL,"VEHICLES, INCLUDING AUTOMOBILES, TRUCKS, TRAILERS, VANS, MOTOR HOMES, MOTORCYCLES AND SCOOTERS, ETC. (SEE 998-20 FOR BUSES) 94",45758.06,05/27/2011,GENERAL SERVICE ADMINISTRATION,"1500 EAST BANNISTER ROAD, KANSAS CITY, MD, 64131"
PO363350,EQUIPMENT LEASE - CAPITAL,"VEHICLES, INCLUDING AUTOMOBILES, TRUCKS, TRAILERS, VANS, MOTOR HOMES, MOTORCYCLES AND SCOOTERS, ETC. (SEE 998-20 FOR BUSES) 94",90892.94,05/27/2011,GENERAL SERVICE ADMINISTRATION,"1500 EAST BANNISTER ROAD, KANSAS CITY, MD, 64131"
PO363332,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,120092,05/27/2011,"PEPCO ENERGY SERVICES, INC","701 NINTH STREET NW, WASHINGTON, DC, 20068"
PO363284,DEPARTMENT OF TRANSPORTATION,HIGHWAYS; STREETS; AIRPORT PAY-PARKING LOTS - ARCHITECTURAL 46,110161.5,05/27/2011,MERCADO CONSULTANTS,"17830 NEW HAMPSHIRE ANENUE SUITE 200, ASHTON, MD, 20861"
PO363347,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,950000,05/27/2011,HESS CONSTRUCTION CO. INC.,"804 WEST DIAMOND AVENUE, GAITHERSBURG, MD, 20878"
PO363348,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,389251,05/27/2011,HESS CONSTRUCTION CO. INC.,"804 WEST DIAMOND AVENUE, GAITHERSBURG, MD, 20878"
PO363283,OFFICE OF VICTIM SERVICES,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,19075,05/27/2011,DC COALITION AGAINST DOMESTIC,"5 THOMAS CIRCLE NW, WASHINGTON, DC, 20005"
PO363282,DEPARTMENT OF TRANSPORTATION,HIGHWAYS; STREETS; AIRPORT PAY-PARKING LOTS - ARCHITECTURAL 46,5017.46,05/27/2011,GREENHORNE & O'MARA INC,"6110 FROST PLACE, LAUREL, MD, 20707"
PO326424-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,477221,05/27/2011,WHITING-TURNER CONTRACTING CO,"300 EAST JOPPA ROAD, BALTIMORE, MD, 21286"
PO320124-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,4393131.7,05/27/2011,WHITING-TURNER CONTRACTING CO,"300 EAST JOPPA ROAD, BALTIMORE, MD, 21286"
PO323291-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,8582249.55,05/27/2011,WHITING-TURNER CONTRACTING CO,"300 EAST JOPPA ROAD, BALTIMORE, MD, 21286"
PO363352,DEPARTMENT OF TRANSPORTATION,"ASPHALT DISTRIBUTORS, LEVELERS, MIXERS, CRACK SEALING EQUIP., ETC. (SEE 755-40 FOR TOOLS) 10",10000,05/27/2011,VALLEY SUPPLY & EQUIPMENT CO,"20332 LEITERSBURG PIKE, HAGERSTOWN, MD, 21742"
PO343186-V3,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MOVING SERVICES 56,920000,05/27/2011,CAPITAL SERVICES AND SUPPLIES,"2804 DOUGLAS STREET NE, WASHINGTON, DC, 20018"
PO363280,DEPARTMENT OF REAL ESTATE SERVICES,"BUILDING CONSTRUCTION, COMMERCIAL AND INSTITUTIONAL 24",40000,05/27/2011,HUGEE CORPORATION,"1818 NEW YORK AVE NE, WASHINGTON, DC, 20002"
PO343185-V4,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MOVING SERVICES 56,415000,05/27/2011,MIGUEL D. TARVER DBA/MDT RUSH,"3157 APPLE ROAD NE, WASHINGTON, DC, 200181605"
PO363305,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,4800,05/27/2011,OVER ACHIEVE CONSULTING,"56 W STREET, NW, WASHINGTON, DC, 20001"
PO340688-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,16158.9,05/27/2011,TURNER CONSTRUCTION COMPANY,"3865 WILSON BLVD, ARLINGTON, VA, 22203"
PO363330,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENCY TYPE) RENTAL OR LEASE 14,49500,05/27/2011,ACME AUTO LEASING LLC,"440 WASHINGTON AVENUE, NORTH HAVEN, CT, 06473"
PO363311,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,30000,05/27/2011,COMMUNITY DEVELOPMENT EXPERTS,"12212 ASBURY DRIVE, FORT WASHINGTON, MD, 20744"
PO363307,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FOOD 44,15000,05/27/2011,"HOLDER ENTERPRISES, INC.","1949 VERMONT STREET NW, WASHINGTON, DC, 20001"
PO363165-V2,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,11999.94,05/27/2011,STEVEN A. ESTRINE,"280 MADISON AVENUE, NEW YORK, NY, 10016"
PO363469,OFFICE OF THE INSPECTOR GENERAL,EDUCATION AND TRAINING CONSULTING 38,3774.3,05/31/2011,"MIGIMA, LLC",
PO363459,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,6000,05/31/2011,APANGEA LEARNING INC.,"925 LIBERTY AVETHIRD FLOOR, PITTSBURGH, PA, 15222"
PO363482,CRIMINAL JUSTICE COORDINATING COUNCIL,SOFTWARE MAINTENANCE/SUPPORT 45,10089.73,05/31/2011,NETIQ CORPORATION,"1233 WEST LOOP SOUTH SUITE 810, HOUSTON, TX, 77027"
PO363456,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,AMUSEMENT AND ENTERTAINMENT SERVICES (INCL. PERFORMING ARTS PROFESSIONALS) 05,2760,05/31/2011,ALL IN ONE ENTERTAINMENT,"440 GIRARD ST  201, GAITHERSBURG, MD, 20877"
PO363427,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EMPLOYMENT AGENCY AND SEARCH FIRM SERVICES (INCLUDING BACKGROUND INVESTIGATIONS AND DRUG TESTING FOR EMPLOYMENT) 30,16083.17,05/31/2011,"OBVERSE CORPORATION, INC.","6925 WILLOW STREET NW, WASHINGTON, DC, 20012"
PO344078-V3,DC PUBLIC LIBRARY,LIBRARY SERVICES (NOT OTHERWISE CLASSIFIED) 38,39060,05/31/2011,SOFTWARE INFORMATION RESOURCE,"1325 G STREET NW, WASHINGTON, DC, 20005"
PO363460,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"ROOM RENTAL FOR CONFERENCES, SEMINARS, ETC. 65",8307.95,05/31/2011,GEORGE WASHINGTON UNIVERSITY -,"801 22ND STREET NW, WASHINGTON, DC, 20052"
PO347623-V2,COUNCIL OF THE DISTRICT OF COLUMBIA,RECYCLED OFFICE SUPPLIES 73,20000,05/31/2011,GENERAL SERVICE ADMINISTRATION,"1500 EAST BANNISTER ROAD, KANSAS CITY, MD, 64131"
PO349672-V2,DEPARTMENT OF MOTOR VEHICLES,TRANSCRIPTION SERVICES: LEGAL AND MEDICAL 72,4966.8,05/31/2011,NEAL R GROSS & CO INC,"1323 RHODE ISLAND AVE NW, WASHINGTON, DC, 20005"
PO363474,ALCOHOLIC BEVERAGE REGULATION ADMIN.,TRANSCRIPTION SERVICES: LEGAL AND MEDICAL 72,37000,05/31/2011,NEAL R GROSS & CO INC,"1323 RHODE ISLAND AVE NW, WASHINGTON, DC, 20005"
PO363475,DEPARTMENT OF TRANSPORTATION,TESTING AND RECORDING INSTRUMENTS 87,8634,05/31/2011,HUMBOLDT MANUFACTURING CO,"7300 W. AGATITE AVENUE, NORRIDGE, IL, 60056"
PO363470,DEPARTMENT OF HEALTH,NOVELTIES AND ADVERTISING SPECIALTY PRODUCTS 52,3684.2,05/31/2011,PEMBROKE WEST ASSOCIATES INC,"4435 WISCONSIN AVE NW, WASHINGTON, DC, 20016"
PO363423,DEPART OF YOUTH REHABILITATION SERVICES,COLLAPSIBLE TANK FOR PETROLEUM SPILLS 24,67500.09,05/31/2011,PETROLEUM MANAGEMENT INC - PET,"7443 SHIPLEY AVENUE, HARMANS, MD, 21077"
PO363471,OFFICE OF CHIEF FINANCIAL OFFICER,RECYCLED OFFICE SUPPLIES 73,6378.3,05/31/2011,CAPITAL SERVICES AND SUPPLIES,"2804 DOUGLAS STREET NE, WASHINGTON, DC, 20018"
PO363424,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,BELTS AND SUSPENDERS 25,4339,05/31/2011,NEFF COMPANY,"645 PINE STREET P.O. BOX 218, GREENVILLE, OH, 453310218"
PO363428,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,BELTS AND SUSPENDERS 25,3752.5,05/31/2011,VARSITY SPIRIT FASHIONS,"6745 LENOX CENTER COURT SUITE 300, MEMPHIS, TN, 38115"
PO363463,D.C. SENTENCING & CRIM. CODE REV. COMM.,SOFTWARE UPDATING SERVICES 46,24875,05/31/2011,CROSS CURRENT CORP.,"100 UNION SQUARE DR, NEW HOPE, PA, 18938"
PO363476,DEPARTMENT OF EMPLOYMENT SERVICES,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,957756.35,05/31/2011,ON POINT TECHNOLOGY INC,"1515 W. 22ND STREET, OAK BROOK, IL, 60523"
PO363417,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RESOURCE BOOKS AND MATERIALS (NOT OTHERWISE CLASSIFIED) 87,6454.08,05/31/2011,"AMSCO SCHOOL PUBLICATIONS, INC","1650 BLUEGRASS LAKES PARKWAY, APHARETTA, GA, 30004"
PO363481,CRIMINAL JUSTICE COORDINATING COUNCIL,"EXPANSION/ACCELERATOR BOARDS: HARD DRIVE CONTROLLER CARDS, MEMORY, PROCESSOR, SCSI, VIDEO CARDS, ETC. 42",7433.6,05/31/2011,"SUPRETECH, INC.","7600 GEORGIA AVENUE NW, WASHINGTON, DC, 20012"
PO363416,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RESOURCE BOOKS AND MATERIALS (NOT OTHERWISE CLASSIFIED) 87,11257.96,05/31/2011,"PEARSON EDUCATION, INC.","ONE LAKE STREET, UPPER SADDLE RIVER, NJ, 07458"
PO363415,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RESOURCE BOOKS AND MATERIALS (NOT OTHERWISE CLASSIFIED) 87,36617.18,05/31/2011,"PEARSON EDUCATION, INC.","ONE LAKE STREET, UPPER SADDLE RIVER, NJ, 07458"
PO363433,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PAPER FASTENERS, PRONG TYPE 71",7154,05/31/2011,AMERICAN EXPRESS COMPANY,"2975 W CORPORATE LAKES BLVD, WESTON, FL, 33331"
PO363412,DC PUBLIC LIBRARY,EDUCATION AND TRAINING CONSULTING 38,22000,05/31/2011,"THE POSSE FOUNDATION, INC","14 WALL STREET, 8A60, NEW YORK, NY, 100050005"
PO363409,DEPARTMENT OF HEALTH,YOUTH CARE SERVICES 95,20000,05/31/2011,NATIONAL CAPITAL COALITION,"5335 WISC. AVE NW, WASHINGTON, DC, 20015"
PO363613,DEPARTMENT OF TRANSPORTATION,INDUSTRIAL EQUIPMENT RENTAL OR LEASE 40,15000,06/01/2011,TAYLOR NORTHEAST FRANKLIN SALE,"1003 N. KRESSON STREET, BALTIMORE, MD, 21205"
PO363584,DEPARTMENT OF MOTOR VEHICLES,DECAL PRINTING 22,10000,06/01/2011,SECUREMARK DECAL CORP.,"6600 WEST ARMITAGE AVE., CHICAGO, IL, 60707"
PO363595,DEPARTMENT OF TRANSPORTATION,TRANSIT MANAGEMENT SERVICES 91,16213,06/01/2011,HDR ENGINEERING INC.,"8404 INDIAN HILLS DRIVE, OMAHA, NE, 68114"
PO363593,DEPARTMENT OF TRANSPORTATION,TRANSIT MANAGEMENT SERVICES 91,167261,06/01/2011,HDR ENGINEERING INC.,"8404 INDIAN HILLS DRIVE, OMAHA, NE, 68114"
PO352084-V3,DEPARTMENT OF EMPLOYMENT SERVICES,COMPUTER SOFTWARE CONSULTING 29,38900,06/01/2011,KATHLEEN PATRICK,"124 EAST RAYMOND AVE, ALEXANDRIA, VA, 22301"
PO362569-V2,OFFICE OF CHIEF FINANCIAL OFFICER,"SECURITY SYSTEMS AND EQUIPMENT, COMMUNICATIONS 54",17765,06/01/2011,ADT SECURITY SERVICES,"14434 ALBEMARLE POINT PLACE, CHANTILLY, VA, 20151"
PO363612,DEPARTMENT OF PARKS AND RECREATION,"REFRIGERATORS AND FREEZERS, COMMERCIAL 70",49445,06/01/2011,"HOME DEPOT, INC.","901 RHODE ISLAND AVENUE NE STORE 2583, WASHINGTON, DC, 20018"
PO332169-V8,DEPARTMENT OF HUMAN SERVICES,OPTICAL SCANNING SERVICES 38,870199,06/01/2011,"HCL AMERICA, INC.","330 POLRERO AVENUE, SUNNYVALE, CA, 94085"
PO363585,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RESOURCE BOOKS AND MATERIALS (NOT OTHERWISE CLASSIFIED) 87,33226.3,06/01/2011,NIENHUIS MONTESSORI USA INC,"140 EAST DANA, MOUNTAIN VIEW, CA, 94041"
PO363560,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,ATHLETIC CLOTHING 10,11715.5,06/01/2011,EGO SPORTS INC,"410 D N MARKET STREET, FREDERICK, MD, 21701"
PO363565,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,ATHLETIC CLOTHING 10,11472.62,06/01/2011,EGO SPORTS INC,"410 D N MARKET STREET, FREDERICK, MD, 21701"
PO363562,CHILD AND FAMILY SERVICES,"CONCESSIONS, CATERING, VENDING: MOBILE AND STATIONARY 15",9334,06/01/2011,"SPIRIT CRUISES, LLC","6TH AND WATER STR. SW, WASHINGTON, DC, 20024"
PO357147-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,55297.76,06/01/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO363602,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,26360.2,06/01/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO363588,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,BELTS AND SUSPENDERS 25,10717,06/01/2011,"MARLOW SPORTS, INC.","7613 PENN BELT DRIVE, FORESTVILLE, MD, 20747"
PO363589,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,BELTS AND SUSPENDERS 25,4892.5,06/01/2011,"MARLOW SPORTS, INC.","7613 PENN BELT DRIVE, FORESTVILLE, MD, 20747"
PO363573,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FOOTBALL EQUIPMENT 48,6552,06/01/2011,"MARLOW SPORTS, INC.","7613 PENN BELT DRIVE, FORESTVILLE, MD, 20747"
PO363572,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"TRACK EQUIPMENT (INCLUDING PEDOMETERS, POLE VAULT AND HIGH JUMP EQUIPMENT, ETC.) 81",6087.8,06/01/2011,"MARLOW SPORTS, INC.","7613 PENN BELT DRIVE, FORESTVILLE, MD, 20747"
PO363570,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,VOLLEYBALL EQUIPMENT 90,7735.5,06/01/2011,"MARLOW SPORTS, INC.","7613 PENN BELT DRIVE, FORESTVILLE, MD, 20747"
PO363571,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,BASEBALL EQUIPMENT 24,12286.55,06/01/2011,"MARLOW SPORTS, INC.","7613 PENN BELT DRIVE, FORESTVILLE, MD, 20747"
PO363569,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FOOTBALL EQUIPMENT 48,7574,06/01/2011,"MARLOW SPORTS, INC.","7613 PENN BELT DRIVE, FORESTVILLE, MD, 20747"
PO363615,DEPARTMENT OF TRANSPORTATION,"BUSES, TRANSIT AND SCHOOL 20",44195.58,06/01/2011,GENERAL SERVICE ADMINISTRATION,"1500 EAST BANNISTER ROAD, KANSAS CITY, MD, 64131"
